GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
eosinophil chemotaxis	NA	NA	NA	NA	NA	NA
eosinophil migration	NA	NA	NA	NA	NA	NA
ephrin receptor signaling pathway	NA	NA	NA	NA	NA	NA
epidermal cell differentiation	NA	NA	NA	NA	NA	NA
epithelial cell apoptotic process	NA	NA	NA	NA	NA	NA
epithelial cell differentiation involved in kidney development	NA	NA	NA	NA	NA	NA
epithelial cell differentiation involved in prostate gland development	NA	NA	NA	NA	NA	NA
epithelial cell-cell adhesion	NA	NA	NA	NA	NA	NA
error-prone translesion synthesis	NA	NA	NA	NA	NA	NA
erythrocyte differentiation	NA	NA	NA	NA	NA	NA
erythrocyte homeostasis	NA	NA	NA	NA	NA	NA
establishment of chromosome localization	NA	NA	NA	NA	NA	NA
establishment of mitotic spindle localization	NA	NA	NA	NA	NA	NA
establishment of mitotic spindle orientation	NA	NA	NA	NA	NA	NA
establishment of spindle localization	NA	NA	NA	NA	NA	NA
establishment of spindle orientation	0	0.6962703401140229	50	0.8268210288854022	0.2717391304347826	-0.4565217391304348
establishment or maintenance of transmembrane electrochemical gradient	NA	NA	NA	NA	NA	NA
ethanol metabolic process	NA	NA	NA	NA	NA	NA
ethanol oxidation	NA	NA	NA	NA	NA	NA
ether biosynthetic process	NA	NA	NA	NA	NA	NA
ether lipid biosynthetic process	NA	NA	NA	NA	NA	NA
ether lipid metabolic process	NA	NA	NA	NA	NA	NA
excitatory postsynaptic potential	NA	NA	NA	NA	NA	NA
extrinsic apoptotic signaling pathway in absence of ligand	NA	NA	NA	NA	NA	NA
eye morphogenesis	NA	NA	NA	NA	NA	NA
fatty acid beta-oxidation	NA	NA	NA	NA	NA	NA
fatty acid catabolic process	NA	NA	NA	NA	NA	NA
fatty acid derivative metabolic process	NA	NA	NA	NA	NA	NA
fatty acid oxidation	0	0.2601780142863338	61	0.6859060497111903	0.33152173913043476	-0.3369565217391305
feeding behavior	NA	NA	NA	NA	NA	NA
female gamete generation	NA	NA	NA	NA	NA	NA
female gonad development	NA	NA	NA	NA	NA	NA
female meiosis I	NA	NA	NA	NA	NA	NA
female meiotic nuclear division	NA	NA	NA	NA	NA	NA
female pregnancy	NA	NA	NA	NA	NA	NA
female sex differentiation	NA	NA	NA	NA	NA	NA
fluid transport	NA	NA	NA	NA	NA	NA
folate transmembrane transport	NA	NA	NA	NA	NA	NA
follicle-stimulating hormone secretion	NA	NA	NA	NA	NA	NA
formation of extrachromosomal circular DNA	NA	NA	NA	NA	NA	NA
formation of primary germ layer	NA	NA	NA	NA	NA	NA
fucose catabolic process	NA	NA	NA	NA	NA	NA
fungiform papilla morphogenesis	NA	NA	NA	NA	NA	NA
gamma-aminobutyric acid signaling pathway	NA	NA	NA	NA	NA	NA
gastrulation	NA	NA	NA	NA	NA	NA
gland morphogenesis	NA	NA	NA	NA	NA	NA
glucan metabolic process	NA	NA	NA	NA	NA	NA
glutathione catabolic process	NA	NA	NA	NA	NA	NA
glycerol ether biosynthetic process	NA	NA	NA	NA	NA	NA
glycerol ether metabolic process	NA	NA	NA	NA	NA	NA
glycerophospholipid catabolic process	NA	NA	NA	NA	NA	NA
glycolipid transport	NA	NA	NA	NA	NA	NA
glycosyl compound metabolic process	NA	NA	NA	NA	NA	NA
gonadotropin secretion	NA	NA	NA	NA	NA	NA
granulocyte chemotaxis	NA	NA	NA	NA	NA	NA
granulocyte migration	NA	NA	NA	NA	NA	NA
hair cycle	NA	NA	NA	NA	NA	NA
hair follicle development	NA	NA	NA	NA	NA	NA
hair follicle placode formation	NA	NA	NA	NA	NA	NA
heart formation	NA	NA	NA	NA	NA	NA
heat generation	NA	NA	NA	NA	NA	NA
hepaticobiliary system development	NA	NA	NA	NA	NA	NA
hindbrain development	NA	NA	NA	NA	NA	NA
hippocampus development	NA	NA	NA	NA	NA	NA
homeostasis of number of cells within a tissue	NA	NA	NA	NA	NA	NA
homologous recombination	NA	NA	NA	NA	NA	NA
homophilic cell adhesion via plasma membrane adhesion molecules	NA	NA	NA	NA	NA	NA
hormone-mediated signaling pathway	NA	NA	NA	NA	NA	NA
humoral immune response mediated by circulating immunoglobulin	NA	NA	NA	NA	NA	NA
immune system development	NA	NA	NA	NA	NA	NA
immunoglobulin mediated immune response	NA	NA	NA	NA	NA	NA
import across plasma membrane	NA	NA	NA	NA	NA	NA
induction of positive chemotaxis	NA	NA	NA	NA	NA	NA
innate immune response in mucosa	NA	NA	NA	NA	NA	NA
inner mitochondrial membrane organization	NA	NA	NA	NA	NA	NA
inorganic cation import across plasma membrane	NA	NA	NA	NA	NA	NA
inorganic ion import across plasma membrane	NA	NA	NA	NA	NA	NA
inositol lipid-mediated signaling	NA	NA	NA	NA	NA	NA
inositol phosphate-mediated signaling	NA	NA	NA	NA	NA	NA
insulin metabolic process	NA	NA	NA	NA	NA	NA
insulin secretion	NA	NA	NA	NA	NA	NA
insulin secretion involved in cellular response to glucose stimulus	NA	NA	NA	NA	NA	NA
interleukin-6 production	NA	NA	NA	NA	NA	NA
interleukin-8 production	NA	NA	NA	NA	NA	NA
intermediate filament cytoskeleton organization	NA	NA	NA	NA	NA	NA
intermediate filament organization	NA	NA	NA	NA	NA	NA
interstrand cross-link repair	NA	NA	NA	NA	NA	NA
intestinal absorption	NA	NA	NA	NA	NA	NA
intestinal cholesterol absorption	NA	NA	NA	NA	NA	NA
intestinal epithelial cell differentiation	NA	NA	NA	NA	NA	NA
intestinal lipid absorption	NA	NA	NA	NA	NA	NA
intracellular glucose homeostasis	NA	NA	NA	NA	NA	NA
intracellular pH reduction	NA	NA	NA	NA	NA	NA
intracellular potassium ion homeostasis	NA	NA	NA	NA	NA	NA
intracellular sodium ion homeostasis	NA	NA	NA	NA	NA	NA
intracellular steroid hormone receptor signaling pathway	NA	NA	NA	NA	NA	NA
intraciliary transport	NA	NA	NA	NA	NA	NA
intraciliary transport involved in cilium assembly	NA	NA	NA	NA	NA	NA
isotype switching to IgA isotypes	NA	NA	NA	NA	NA	NA
keratinocyte differentiation	NA	NA	NA	NA	NA	NA
kidney morphogenesis	NA	NA	NA	NA	NA	NA
killing by host of symbiont cells	NA	NA	NA	NA	NA	NA
kinetochore assembly	NA	NA	NA	NA	NA	NA
kinetochore organization	NA	NA	NA	NA	NA	NA
labyrinthine layer morphogenesis	NA	NA	NA	NA	NA	NA
leukocyte adhesion to vascular endothelial cell	NA	NA	NA	NA	NA	NA
leukocyte mediated cytotoxicity	NA	NA	NA	NA	NA	NA
leukotriene biosynthetic process	0	0.2601780142863338	61	0.6859060497111903	0.33152173913043476	-0.3369565217391305
leukotriene metabolic process	NA	NA	NA	NA	NA	NA
limb development	NA	NA	NA	NA	NA	NA
limb morphogenesis	NA	NA	NA	NA	NA	NA
limbic system development	NA	NA	NA	NA	NA	NA
lipid digestion	NA	NA	NA	NA	NA	NA
lipid homeostasis	NA	NA	NA	NA	NA	NA
lipid modification	0	0.2601780142863338	61	0.6859060497111903	0.33152173913043476	-0.3369565217391305
lipid oxidation	0	0.2601780142863338	61	0.6859060497111903	0.33152173913043476	-0.3369565217391305
lipid transport across blood-brain barrier	NA	NA	NA	NA	NA	NA
lipopolysaccharide-mediated signaling pathway	NA	NA	NA	NA	NA	NA
lipoprotein catabolic process	NA	NA	NA	NA	NA	NA
lipoprotein localization	NA	NA	NA	NA	NA	NA
lipoprotein metabolic process	NA	NA	NA	NA	NA	NA
lipoprotein transport	NA	NA	NA	NA	NA	NA
liver development	NA	NA	NA	NA	NA	NA
locomotory behavior	NA	NA	NA	NA	NA	NA
low-density lipoprotein particle clearance	NA	NA	NA	NA	NA	NA
low-density lipoprotein particle receptor catabolic process	NA	NA	NA	NA	NA	NA
