	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
LINC02606	4	1	2	2	3	4	1	3	0	2	3	8	63
SLC25A33	63	233	190	273	1392	590	252	394	184	325	99	343	448
TMEM201	13	200	43	220	233	583	277	277	147	213	29	105	35
LOC107985734	0	6	2	7	6	26	19	18	16	10	14	15	6
LOC105376712	6	2	10	15	2	8	8	9	6	8	13	19	0
PIK3CD	11617	8592	6022	10938	8528	11223	11850	7664	5927	9654	1906	5045	93
PIK3CD-AS1	310	26	48	37	89	69	40	80	62	50	18	57	0
PIK3CD-AS2	3	11	5	15	9	22	17	25	39	12	10	17	8
CLSTN1	648	3970	1151	4948	2560	6561	7067	4999	2994	5195	484	1536	2525
CTNNBIP1	245	511	407	937	676	491	651	352	478	672	82	321	240
LOC105376717	6	10	4	18	18	5	10	12	17	9	10	12	22
LZIC	459	884	479	960	525	1157	1149	1098	1046	1021	316	435	3562
NMNAT1	151	117	185	233	112	417	174	273	186	192	37	30	454
TMEM274P	2	0	1	4	1	1	0	1	3	0	1	3	28
MIR5697	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	86	415	144	780	610	2	289	29	421	485	178	462	3
UBE4B	1280	1309	923	2021	1852	1951	1846	1650	757	1238	179	658	1868
KIF1B	6676	1398	2481	1306	3903	1022	1048	1296	441	1276	501	1172	18062
LOC105376725	42	15	13	7	15	15	54	39	56	73	211	230	62
PGD	88601	7547	14994	7896	6774	6486	3577	9773	2704	5580	797	3373	2031
CENPS-CORT	5	30	9	21	22	136	37	95	39	23	26	18	84
CENPS	4	35	8	19	18	152	42	97	32	22	13	18	74
CORT	2	6	4	13	7	21	8	11	17	5	13	6	13
DFFA	134	611	308	823	523	2179	1459	1878	1153	1018	451	578	2100
PEX14	255	608	293	622	320	874	781	762	522	486	213	572	157
CASZ1	422	1211	343	970	966	1053	581	848	188	509	180	857	63
LOC105376733	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	1	3	3	1	2	0	0
C1orf127	0	5	1	11	29	2	30	3	20	21	2	4	3
TARDBP	1433	4900	2147	4439	4177	5694	5145	4906	2375	3587	538	1746	2339
MASP2	28	202	151	343	101	218	408	314	108	223	29	130	330
SRM	152	1008	302	578	463	2104	1162	1634	1297	725	110	363	99
EXOSC10	466	2110	567	2180	1329	2825	2517	2696	1380	1848	70	615	2606
EXOSC10-AS1	10	34	14	39	33	38	27	20	8	29	1	1	36
MTOR	702	1842	881	2129	1612	2489	2284	1891	952	1650	54	235	3395
MTOR-AS1	5	20	12	27	21	29	23	13	6	20	0	0	53
ANGPTL7	1	1	0	1	2	1	3	2	0	0	0	0	55
UBIAD1	113	721	171	582	369	1756	1023	1557	639	600	189	345	586
LOC105376737	0	0	0	1	0	0	0	0	0	0	2	2	0
LOC105376739	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376740	0	1	0	0	0	0	1	5	0	0	0	1	0
DISP3	0	5	0	7	6	3	13	5	10	8	1	3	44
LOC112268221	0	0	0	1	0	0	1	0	0	1	0	2	33
LINC01647	0	0	0	0	0	0	0	1	0	0	1	1	0
FBXO2	7	33	8	68	27	131	62	57	56	54	12	40	22
FBXO44	138	490	186	622	692	1102	1305	927	1054	775	189	663	78
FBXO6	1762	727	1601	530	831	1067	471	1145	324	973	18	217	46
MAD2L2	718	525	366	548	671	1131	463	812	548	520	127	544	187
DRAXIN	15	19	19	58	96	96	41	66	38	118	44	42	920
AGTRAP	4902	1413	1982	1583	2777	505	1407	707	1290	2268	380	1383	53
C1orf167	94	341	502	596	361	268	348	217	111	636	36	111	39
C1orf167-AS1	2	2	2	0	5	2	3	3	6	4	26	7	0
MTHFR	574	2151	2779	3290	2096	1524	2316	1441	1147	3390	3181	1849	255
CLCN6	303	1134	1197	1935	1486	1023	1161	988	328	1233	451	784	366
NPPA-AS1	40	171	263	308	228	163	188	154	53	252	42	74	66
NPPA	9	33	68	64	33	35	49	55	39	68	36	43	14
NPPB	0	1	4	2	7	2	2	0	0	1	4	6	0
RNU5E-1	10	1	37	5	31	2	2	1	5	5	4	60	71
KIAA2013	2017	1169	809	1391	1146	1676	1461	1402	1289	1508	140	647	552
PLOD1	2163	879	657	1250	1639	438	1451	417	630	1272	55	418	990
MFN2	3943	3243	5111	3082	3823	3172	2708	2611	1078	2377	299	1721	2410
MIIP	880	439	938	679	946	1065	828	994	970	1182	250	600	65
MIR6729	1	0	3	0	4	2	4	1	1	3	0	1	0
TNFRSF8	387	224	178	524	115	427	239	161	215	532	125	216	0
MIR7846	4	3	326	378	158	62	1	1	19	192	2	0	1
TNFRSF1B	20106	39859	21516	30524	15446	7977	14969	10371	5989	26364	2807	9432	154
MIR4632	0	3	0	2	2	0	2	0	8	9	2	6	0
LOC107984917	26	42	34	39	130	8	49	6	12	57	98	142	1
VPS13D	945	2595	1683	3366	2511	2799	3062	2416	1068	2360	127	564	9691
SNORA59A	4	5	1	13	8	7	16	10	5	11	0	0	19
LINC02766	2	6	3	13	13	9	36	18	66	38	37	35	8
DHRS3	69	1344	274	748	763	1931	920	1090	760	565	848	2170	805
MIR6730	0	4	0	1	3	2	1	3	1	4	0	2	1
AADACL4	0	0	0	0	0	0	0	2	0	0	3	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	7
CFAP107	0	0	0	1	1	0	2	4	1	0	3	1	205
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	2	0	3
PRAMEF11	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL1	48	62	33	36	40	40	45	41	19	29	28	26	0
PRAMEF2	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	1
PRAMEF6	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0	0	1
HNRNPCL3	3	8	2	5	4	5	2	4	1	4	0	2	2
PRAMEF25	0	0	0	0	0	0	0	0	0	0	1	0	1
PRAMEF34P	0	0	0	0	0	0	0	1	0	0	0	0	1
HNRNPCL2	47	61	27	35	34	32	40	38	12	26	12	20	0
PRAMEF36P	0	0	0	0	0	0	0	1	0	0	0	0	2
PRAMEF26	0	0	0	0	0	0	0	0	0	0	1	0	1
HNRNPCL4	19	22	8	15	10	14	13	13	5	8	1	5	2
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	1
PRAMEF13	0	0	0	0	0	0	0	1	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0	0	0	0	0	2	0	2
PRAMEF5	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	0	0	0	2
PRAMEF33	0	0	0	0	0	0	0	1	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	2	0	0	2	0	0
PRAMEF19	0	0	0	0	0	1	0	0	0	0	1	2	1
PRAMEF17	1	0	0	0	0	0	0	2	0	0	0	2	4
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	1	0	6	1	0	0	0	0
LOC102724856	0	0	0	0	0	1	2	1	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	0	1	0	0	0	9	3	200	1	0	0	0	4314
LOC107984919	0	0	0	1	0	1	0	2	0	0	0	0	25
LOC105378612	0	1	0	1	0	0	2	7	0	0	1	2	0
LOC105376756	1	0	0	0	0	0	0	0	0	0	0	0	1
PRDM2	2860	5711	2473	5170	8484	4921	4874	4069	2627	2973	3357	3744	1291
KAZN	102	8	230	18	51	8	5	11	5	9	16	31	646
LOC107985467	0	0	0	0	0	1	0	0	0	0	0	0	26
LOC107985468	1	0	0	0	0	1	0	1	0	0	0	1	2
KAZN-AS1	0	1	0	0	0	2	3	0	0	0	0	0	2
LOC105376759	0	0	0	0	0	0	1	0	1	0	0	0	333
LOC107985469	0	0	0	0	0	0	0	2	0	0	0	0	26
TMEM51-AS1	5	4	15	9	3	2	5	6	2	2	3	6	166
TMEM51	58	1164	106	382	96	38	90	340	41	241	69	313	141
TMEM51-AS2	0	1	1	3	4	2	6	7	6	13	36	64	8
FHAD1	3	63	30	51	33	12	50	28	25	19	74	18	109
FHAD1-AS1	1	11	1	5	6	8	7	13	6	1	11	9	17
EFHD2-AS1	51	57	105	142	315	23	104	29	24	49	159	365	7
EFHD2	23253	20058	18850	16257	22122	5485	13774	5216	6731	14298	4776	21201	113
CTRC	14	17	45	24	65	20	21	14	36	27	162	165	0
CELA2A	3	1	8	5	6	1	1	0	2	1	1	10	3
LOC105376767	0	3	5	1	2	0	3	1	1	2	9	6	1
CELA2B	4	8	26	15	16	13	11	16	5	6	45	21	22
CASP9	438	317	561	584	846	466	398	310	227	458	262	570	137
DNAJC16	682	719	229	839	335	1343	987	1111	438	663	192	230	1730
SCARNA21B	0	0	0	0	0	1	0	0	0	1	0	0	3
AGMAT	9	73	22	113	60	551	282	273	218	189	78	67	45
DDI2	325	2545	633	2792	1405	2310	1894	1968	942	1544	618	973	1798
RSC1A1	68	501	100	460	319	267	239	193	52	199	10	57	386
PLEKHM2	3162	5328	3407	4574	7591	4538	3204	4667	1809	3480	747	3744	589
SLC25A34	68	50	42	66	308	97	68	111	21	109	35	99	7
SLC25A34-AS1	4	1	3	4	15	7	5	12	1	6	0	3	0
TMEM82	0	0	0	0	5	0	0	0	0	0	0	1	0
FBLIM1	1	0	2	1	4	2	1	4	5	1	11	11	66
UQCRHL	131	175	161	172	182	245	164	173	195	132	19	115	128
SPEN-AS1	224	117	204	252	309	184	204	149	262	197	218	219	134
SPEN	1660	7717	2861	8536	5810	4233	5530	4305	1724	4092	1120	1521	6241
ZBTB17	879	2027	1323	1671	2155	1990	1649	2415	1322	1271	941	2200	204
SRARP	0	0	0	2	2	0	0	0	2	0	1	3	2
HSPB7	0	0	0	0	2	0	0	0	0	1	0	0	66
CLCNKA	0	3	2	3	2	1	3	3	1	0	0	1	2
CLCNKB	0	0	1	0	0	0	0	0	1	0	0	0	3
FAM131C	1	0	2	0	0	16	0	8	1	1	0	0	3
EPHA2	0	16	2	86	124	8	24	16	10	41	9	34	47
EPHA2-AS1	0	1	0	3	2	1	2	2	0	0	3	4	7
ARHGEF19	29	77	19	92	131	326	197	279	213	145	15	72	23
