GeneID	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_PBMC_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dendritic_cell_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
10263	-0.2943798494685559	0	-0.11866211972545536	-0.04350741592407459	0	0
10265	0	-0.18147656309828167	0	-1.9931290683991636	0	0
10266	0	0	-1.0869689703647327	-2.1060096190073425	-0.4627573621938387	0
10267	-0.03891562163557129	-0.16186092400746044	-0.3126169014665821	-0.1255784317329962	0	-1.8660016481695347
10268	-1.0019152917243064	-0.5114019881252316	-0.00995248046837724	-0.0023287722629183744	0	0
10269	-0.7564550004084678	-0.06449760686796455	-4.496977138520042e-4	-0.0021655906584469864	-3.1980195990661304	-5.850642519070564
1027	0	0	-0.012773692260304724	0	0	-3.4036447524513105
10270	-0.06543707192051099	-0.440521650185322	0	-0.25234242093855425	-0.03917295889367356	0
10272	-0.32853815842614464	0	0	-0.0825316656003107	0	0
10273	0	0	0	-2.734428516862933	0	0
10274	-0.9469083237077452	-0.2625230866259164	0	0	0	-1.298242484457679
10276	-0.03761301846641776	-0.04167820789312482	0	-0.0879389778412491	-0.037904872457915184	0
10277	0	-0.8913049157930448	0	-0.01026776394955406	0	0
10278	-0.048229214766957934	0	0	0	-10.399630127674053	-10.18912706196716
10279	-0.1079039172163624	0	-0.2350131007335685	0	-0.25065159895670575	0
1028	-0.23333298152314308	-0.387175712855288	-0.5218968324166982	0	-0.03917295889367356	0
10280	0	0	-0.5061591165947655	0	0	0
10281	0	0	0	-0.006374658690869367	0	0
10282	0	-0.7947063711579596	-0.1082556832012946	0	0	-0.005577264404223681
10283	0	0	-0.2689831853351401	0	0	0
10284	0	-0.1183850880046584	-0.42812561834759966	0	-6.059201373436823	-5.277048692399503
10285	0	-4.011546737219385	-0.22717936588018797	-0.1909305409428521	-0.03917295889367356	0
10286	0	-0.33123719472527924	0	0	0	0
10287	-0.7825426767592205	-10.845139937207769	0	-0.010565512990344694	-0.7594588163170672	0
10288	-0.14180238186639027	0	0	-0.17430026514229063	-6.115139587388926	-3.3966630874752206
10289	-0.02369421274777693	0	0	-0.46589022933383806	0	0
1029	0	0	-9.332498472400808e-4	-0.15022733404717137	-1.7344224145765186	-1.3400046535530603
10290	0	0	0	0	0	-0.15965688891073426
10291	0	0	-0.6671853141721209	0	0	0
10293	-0.4088962305907038	-0.33910576844927176	0	0	-0.2553276641507074	0
10294	-0.03217523639062561	0	0	0	0	-0.520551439446013
10295	0	-0.6956644120635214	-0.2183485257900564	-0.003505660975542632	0	-0.08563889295369442
10296	0	-0.3479400414343605	0	0	0	0
10297	0	-0.2605366981259021	0	0	-0.7023156183329924	-6.823681580152213
10298	-0.0783706878683901	-1.1808570584085178	-0.4876042300753287	0	-0.037904872457915184	0
10299	-0.04826013086341108	-1.0055837326003667	0	-2.1111034565325446	0	0
103	-0.1557134325962562	-0.6979863587549331	0	-0.05986012975237265	0	0
1030	0	0	-0.018240116580543374	-0.020272506311797334	0	-7.260891572247277
10300	0	-1.2722128533678634	0	-0.0995045839511806	0	0
10301	-0.034642431264307494	0	-0.1425655049683019	0	-0.03917295889367356	0
10302	0	0	-0.9502510850414996	-0.3514605088263289	-2.2383593350047946	-3.7724593814438103
10307	0	-0.5785631889235167	0	-0.3534610646256757	-0.15114305233714265	0
10308	0	0	-0.06905834018568452	0	-2.110582718020363	0
10309	-0.016604719207190533	-0.7636408000102841	0	0	0	0
1031	0	-4.132716978374589	-0.5348761696666322	0	-1.4040018495062538	-0.952560564137829
10311	0	0	0	0	-2.104500486248716	-2.3041540357549746
10312	-0.491827003061192	0	-0.07474050922216194	0	0	0
10313	0	0	-1.1757637230933329	0	-1.218892834471225	-1.54141015422581
10314	-0.2517984427871722	-0.5262146417442208	-0.09420537255921058	-0.33537000580178594	-0.03917295889367356	0
10316	-0.009661276369840044	0	-0.02708973933017772	0	0	-0.6545294059144233
10317	0	-10.006383717001349	-1.3306001889235124	0	0	-7.243093482945669
10318	-0.12994843639473275	0	-1.2563339427569336	-0.4524101599086836	-0.06646828944308703	0
10319	-0.036950854731250926	0	-1.8031158162597936	0	0	0
1032	0	-0.18105462763980357	0	0	0	0
10320	0	0	-0.5562161965198662	-1.3336235938662178	-0.2762403051256479	0
10321	-0.2344624674549876	-1.2215693630635962	-1.217100206260487	0	0	-0.008454942381301178
10322	0	0	0	0	-0.03917295889367356	0
10324	-0.025432598104353388	0	-0.03469298023615512	-1.657509110052214	0	-0.9485665819926464
10325	-0.24871275967197648	0	-0.012359526717247687	-0.02672658310699732	0	0
10326	-0.17517758858899968	-0.02589258784089156	-1.2646557705557004	-0.6374259895067933	-0.03917295889367356	0
10327	0	0	0	0	-0.09310431084723136	0
10328	0	-0.4362414175433747	-1.1317489301682535	-14.907921511310295	-0.6149966958506492	-0.21434137052292823
10329	-0.7749305479295492	0	0	0	0	0
1033	-0.27042914729659184	-0.23831119590049843	-0.5231945709340367	-0.17486686140824537	-0.2003413074716438	0
10330	-0.03690188461658003	0	-0.00858748780825791	0	-0.04915002836897386	0
10331	-0.17781321095947478	0	-0.6573890094217307	-0.6941925174039463	0	0
10332	0	0	0	-0.07444649296093798	-0.7498124273789692	-1.6416578348070572
