Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	circulating_aggregated_microarray	aggregated_RNAseq	circulating_aggregated_RNAseq
positive regulation of mitochondrial fusion	0	0	0	0	0	0	0.7716727237196409	0.548407065823611	1.7870805225713575	0.8812930853225462	0	0.8373246441046674	0	0.7036802641207458	1.156626452180761	0	0	0	0	0	1.0062125939972393	0	1.4186034154990974	0	0	1.143136532079481	0	0	0.6907046056207455	0.7018658723836978	0.7772062334192513	0.7796170978294186
positive regulation of mitochondrial membrane permeability	0	0	0.4622295167224617	0.7972949810385507	0	0.7558887611184403	0.6365829165604019	0.6457507169043948	0.9907049317898096	0.3899930390794384	0	0.9679805625585896	0.547425832697402	0.5778645070904409	0.9808453374114924	0.6555761935231644	0	0.8544318102072621	0	1.319030458676945	0.8440119314948521	1.1056064468074254	0.7152855038198582	0.953791594556072	1.1611125727755731	0.5373232197081415	1.0601112247505626	0	0.9133418095065248	0.9268007591033468	0.8030302573316724	0.8054951948538309
positive regulation of mitochondrial membrane permeability involved in apoptotic process	0	0	0.4350799418451115	0.7553158499531182	0	0	0	0.41979520500876905	1.2660980368377943	0	0	1.1426135173557004	0	0.5450198334608268	1.254990119114335	0	0	0.8104388139286917	0	1.2635668078912758	0.8003752005752953	1.291289352214242	0.6764586220746904	0.6450348714134074	1.218404372859993	0.5064085750582525	1.0100403736566157	0	0.5344088289744641	0.5435344382954065	0.8094178579528228	0.8118958868257596
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	0	0	0.667593182197922	1.0946483098622903	0	1.6434606384987678	0.8959251696155924	0.6457507169043947	0	0	0	0.9679805625585896	0	0.8206017019501793	0	0.91996303496688	0	0	0	1.079761098373628	1.1505722633660311	0	0	1.533895782729202	1.3752532453857638	0	0.8474586712762363	0	1.1052992892289777	1.1202249259446382	0.9020234857950488	0.9046789589929608
positive regulation of mitochondrial translation	0	0	0	0.45768728857678725	0	0	0.6763118873418741	0.8728371930579252	1.0437333162136226	0	0	0.392152295680545	0	0.6147243713154066	0.30230077963390045	0	0	0.4950276527544076	0	0	0.8923277476750451	0	1.0476745165024348	0.38509907800277843	0.9518081778733246	0.2974965608402245	0.8958975001460232	0	0.1593848230436434	0.1623417652573405	0.8498357695201749	0.8523940590772522
positive regulation of mitophagy	0	0.923683834667479	0.4350799418451115	0.7553158499531182	0	0	0.3137893727853598	0.6098415165283628	0.7453179417437554	0.3666846308802253	0	0.34510475089960413	0	0.9801577217468848	0.7370984317431656	0.3240880336744683	0	0.8104388139286917	0	1.2635668078912758	0.8003752005752953	0.408834928779076	0.9462132102157254	0.9066412621910932	0.9883359438132664	1.0910885135883293	1.0100403736566157	0.968508305592437	0.9640157279209456	0.9779047289076092	0.8094178579528228	0.8118958868257596
positive regulation of mitotic cell cycle	0.5468387117407199	0.613544066036155	0.40337493499762417	0.2524516685259719	1.031209967098861	1.064259363491591	0.5592464895478996	0.8951858611388221	0.8846454982356892	0.22874296786125836	0.12732301851144873	0.7837215157873528	0.21945729964630709	0.8378186252934663	0.7531042770424934	0.5177518063834197	0	1.4178583788753458	0	0.8223209369197015	1.0062125939972395	0.2558575739962685	0.9143015991595956	0.7713121007593928	1.0818922351493216	0.8245384006202128	0.727847634758632	0.2292046178125221	1.1589816358160363	1.174243730322042	0.8835097742718542	0.886131589732535
positive regulation of mitotic cell cycle phase transition	0.7218259570931987	0.2935211510553099	0.31005179619696516	0.23070881234175403	0.961452423614724	0.944986020185802	0.26547226383291483	0.8604535706908344	0.7041154564109453	0.20897795059895183	0	0.7251910516904273	0.29828344872022994	0.735303122041718	0.6349380241338072	0.4477530604425009	0	1.5618848654156303	0	0.7323290342509106	1.121531637323168	0.11771244117803814	0.824504264202673	0.9275213792399516	1.0780879359787126	0.625728074939512	0.6947903930664044	0	1.0768236070276531	1.0915584854579214	0.8766271093246956	0.879236184164806
positive regulation of mitotic cell cycle spindle assembly checkpoint	0	1.618846405768462	0.8997380117300549	0	0	0	0	0.8728371930579252	0.587526123321453	0	0	0.7362265405349339	0	0	0.58066687371913	0.6961912140210749	0	1.471014691151193	0	1.379314768300071	0.8923277476750451	0	0.7585529576878763	0.7243513531762704	1.0921605867074502	1.6152815143198191	0	0	1.249303951394834	1.2650685704422089	0.9020234857950488	0.9046789589929608
positive regulation of mitotic cytokinesis	3.244364504152709	0	0.4928719083083756	0	1.5594728162967924	1.3399393876506214	1.171306923303042	1.432818032370061	1.3819312232322136	0	0	0	0	1.426754139454387	0	1.1989809802461409	0	1.8474428177857956	0	1.379314768300071	0	0	0.7585529576878763	1.2376686258949714	1.0921605867074502	1.3559761888218551	0.6365611249638103	0	1.066495598110179	1.0811591068075896	0.9020234857950488	0.9046789589929608
positive regulation of mitotic cytokinetic process	3.3981121603480706	0	0.5676089627134441	0	1.7022040031009449	1.4766333263852092	1.301399677662636	1.5723695874856627	1.519977952857555	0	0	0	0	1.209327638160835	0	1.3302983107456507	0	1.995098482811411	0	1.517280227526992	0	0	0.8616674641717018	1.370599981365715	0.901519331615012	1.143136532079481	0.727847634758632	0	1.191373680793255	1.2068248276768063	0.9020234857950488	0.9046789589929608
positive regulation of mitotic metaphase/anaphase transition	0	0	0	0	1.164701778209143	0.9715412000789492	0	0.5932823665418061	0.3860997373162752	0.5214393145073524	0	0.8982342657332819	0	0.7579155776848244	0.38132461377936927	0.4629783407445693	0	1.4293468675167855	0	1.0055429380618537	1.6783596846274094	0.5785535883802876	0.9236618654848584	0.8846657657258801	0.9652067635744048	0.37536479577042575	1.0778437269820302	0	0.8944415751736342	0.9077317187039792	0.9020234857950488	0.9046789589929608
positive regulation of mitotic nuclear division	0	0.5931871320271709	0.2629944190019237	0.2432850442594448	1.00220708520857	0.4461383350105981	0.8420008088560077	0.9852872891177552	1.0722770423794716	0.9577158274426724	0.3609291005673302	0.4059391374907095	0.8518184948930787	0.8937717357554448	0.8491074686648993	0.8651301267141317	0	1.7096104373071703	0.3699732582239293	0.856087061886133	1.0884447574181593	0.4795624804270751	1.2016789786346824	1.033724679373397	1.052141562300765	0.8377637115299601	1.2424312012583387	0	1.144303390642972	1.1102136671661178	0.8478658156148229	0.8504202955351331
positive regulation of mitotic sister chromatid segregation	0	0	0.38915772325800624	0.6827760581916335	0	0	0	0.7078152659537139	0.46659611631964376	0.6250819672149639	0	0.5907968434363788	0	0.8937717357554448	0.8491074686648993	0.9983073853893984	0	1.611605852975117	0	1.1649050145571649	0.7247413579163513	0.6909336995856615	1.0762734911742406	1.033724679373397	1.121359538853528	0	0.9221045429102828	0	1.191373680793255	1.2068248276768063	0.9020234857950488	0.9046789589929608
positive regulation of mitotic sister chromatid separation	0	0	0	0	1.164701778209143	0.9715412000789492	0	0.5932823665418061	0.3860997373162752	0.5214393145073524	0	0.8982342657332819	0	0.7579155776848244	0.38132461377936927	0.4629783407445693	0	1.4293468675167855	0	1.0055429380618537	1.6783596846274094	0.5785535883802876	0.9236618654848584	0.8846657657258801	0.9652067635744048	0.37536479577042575	1.0778437269820302	0	0.8944415751736342	0.9077317187039792	0.9020234857950488	0.9046789589929608
