Unnamed: 0	GSM3001089	GSM3001091	GSM3001092	GSM3001093	GSM3001094
ENSG00000044090	8304	5389	5506	4638	4975
ENSG00000044115	86932	44378	73711	42400	42995
ENSG00000044446	2488	1120	2189	1015	1174
ENSG00000044459	2935	1647	3182	1930	1955
ENSG00000044524	6	2	2	4	2
ENSG00000044574	30729	22187	29097	16353	22484
ENSG00000046604	123	140	85	80	97
ENSG00000046647	1443	910	1284	854	945
ENSG00000046651	3010	1481	3023	1769	1837
ENSG00000046653	192	53	181	90	92
ENSG00000046889	20404	12847	16656	13347	12795
ENSG00000047056	3962	2167	3599	2090	2178
ENSG00000047188	29284	6739	16475	5041	5667
ENSG00000047230	3558	2183	3394	2209	2345
ENSG00000047249	7064	3645	6835	3729	3809
ENSG00000047315	18082	8527	19186	9098	9482
ENSG00000047346	6826	3117	6035	2671	3025
ENSG00000047365	76	20	326	93	99
ENSG00000047410	44568	22009	42535	22789	22306
ENSG00000047457	158	58	171	86	110
ENSG00000047578	3540	1942	3400	2167	2371
ENSG00000047579	1078	540	1190	570	629
ENSG00000047597	2	3	2	6	2
ENSG00000047617	2413	1683	1993	2366	2137
ENSG00000047621	3280	1609	4259	2062	2030
ENSG00000047634	2256	954	3518	1505	1466
ENSG00000047644	16694	8395	13285	7868	8639
ENSG00000047648	23	11	28	24	23
ENSG00000047662	23	20	17	10	16
ENSG00000047849	39373	21371	36106	18549	21188
ENSG00000047932	8281	5937	8255	7581	7453
ENSG00000047936	20	6	22	12	14
ENSG00000048028	3613	1940	5638	2860	3050
ENSG00000048052	876	247	2083	526	595
ENSG00000048140	8868	4338	8878	4682	4994
ENSG00000048162	1773	1092	2301	1240	1275
ENSG00000048342	3165	1922	2098	1380	1501
ENSG00000048392	11073	5135	10738	5892	5733
ENSG00000048405	4137	1933	4356	2243	2270
ENSG00000048471	3272	3194	3018	2839	3011
ENSG00000048540	65	33	70	33	46
ENSG00000048544	4344	2372	4590	2442	2443
ENSG00000048545	24	5	22	20	13
ENSG00000048649	7946	4512	8305	4791	4888
ENSG00000048707	19255	11806	18843	13345	14097
ENSG00000048740	7256	2384	6496	2398	2616
ENSG00000048828	26359	15243	26181	15857	16895
ENSG00000048991	3092	1818	2929	1576	1781
ENSG00000049089	111	79	63	70	60
ENSG00000049130	1244	314	964	337	351
ENSG00000049167	3583	1457	3232	1651	1723
ENSG00000049192	9475	1984	7957	2623	3103
ENSG00000049239	13537	8741	8991	6578	7485
ENSG00000049245	22029	13427	18390	12974	12486
ENSG00000049246	822	360	707	429	447
ENSG00000049249	166	54	196	96	136
