Unnamed: 0	GSM2695725	GSM2695726	GSM2695727	GSM2695728	GSM2695729	GSM2695730	GSM2695731	GSM2695732	GSM2695733	GSM2695734	GSM2695735	GSM2695736	GSM2695737	GSM2695738
ENSG00000011243	454	466	447	564	462	767	461	690	1710	1242	1863	1804	2329	1693
ENSG00000011258	90	233	315	407	175	211	236	311	816	437	741	275	189	584
ENSG00000011260	401	422	678	549	334	498	644	558	833	626	1013	660	604	1074
ENSG00000011275	451	530	559	851	480	700	670	803	2354	1441	1603	1456	1224	1671
ENSG00000011295	211	302	385	424	243	321	443	467	808	273	569	704	444	889
ENSG00000011304	635	521	718	848	591	586	818	995	2444	1493	1770	1669	1381	1912
ENSG00000011332	8	15	8	13	8	5	12	11	34	16	29	13	7	14
ENSG00000011347	9	0	9	0	5	1	9	1	56	4	15	76	19	22
ENSG00000011376	177	237	218	247	192	283	250	247	583	263	518	499	339	472
ENSG00000011405	420	390	373	432	535	444	302	416	1382	914	840	648	485	639
ENSG00000011422	2335	1210	1318	1230	2331	1625	1200	1278	4987	1870	2587	4209	2179	2574
ENSG00000011426	85	282	834	792	115	166	961	724	129	72	888	111	60	504
ENSG00000011451	37	75	108	83	85	52	86	107	450	238	316	270	285	370
ENSG00000011454	217	312	312	364	293	351	267	317	1312	815	1051	648	550	643
ENSG00000011465	8	12	10	14	9	16	8	7	8	3	3	5	4	10
ENSG00000011478	57	23	44	30	28	52	32	48	160	100	103	113	144	60
ENSG00000011485	372	387	562	581	314	380	653	659	1001	655	1568	830	416	1387
ENSG00000011523	102	123	113	88	143	108	82	87	394	180	164	176	188	152
ENSG00000011566	182	313	237	337	242	265	169	251	860	450	346	484	379	380
ENSG00000011590	8	18	17	23	10	24	9	31	28	27	37	8	11	25
ENSG00000011600	740	278	401	396	518	402	585	413	2300	1974	2268	1370	1727	1619
ENSG00000011638	12	14	17	25	25	22	41	26	140	99	45	37	40	32
ENSG00000012048	141	210	565	661	275	233	805	803	185	128	1029	211	125	701
ENSG00000012061	346	248	335	357	167	224	291	399	313	197	444	422	213	606
ENSG00000012124	37	66	201	90	33	15	184	91	243	68	660	361	61	572
ENSG00000012171	0	2	1	1	2	1	1	2	52	20	39	19	7	23
ENSG00000012174	43	76	90	93	70	75	86	89	281	200	232	216	135	231
ENSG00000012211	46	16	47	54	29	31	70	51	296	145	239	117	110	168
ENSG00000012232	134	129	157	176	191	157	205	217	463	244	405	251	240	338
ENSG00000012660	2423	1823	2574	2443	2212	2121	2804	2552	4247	2584	4867	3329	1856	3864
ENSG00000012779	4	0	0	5	1	2	7	4	19	18	123	6	1	6
ENSG00000012817	115	211	240	260	146	201	243	234	901	473	965	666	720	823
ENSG00000012822	429	215	237	245	355	254	175	188	3677	1820	1623	1386	1332	1151
ENSG00000012963	298	254	541	674	241	258	790	732	1176	431	989	856	431	1492
ENSG00000012983	159	194	263	273	125	244	197	260	730	358	399	523	417	596
ENSG00000013275	308	231	305	332	276	253	375	309	495	322	518	411	309	489
ENSG00000013288	352	295	378	452	259	248	486	499	1207	788	1742	918	578	1486
ENSG00000013293	6	14	5	12	10	5	0	2	8	3	7	11	14	13
ENSG00000013297	8	4	0	3	5	1	2	6	10	9	3	10	8	8
ENSG00000013306	68	58	112	106	52	83	158	110	257	206	328	202	125	281
ENSG00000013364	977	789	687	626	716	981	583	871	1953	807	1277	2401	2190	1542
ENSG00000013374	3028	1850	847	1027	958	2376	921	1302	12076	5373	3278	6823	7330	2749
ENSG00000013375	505	403	341	366	672	458	329	383	1329	566	503	594	299	395
ENSG00000013392	49	59	56	56	65	48	45	68	270	101	127	72	35	51
ENSG00000013441	1071	1106	992	1108	1326	1916	771	1201	4732	2193	2421	4289	5163	3059
ENSG00000013503	97	123	179	213	81	158	181	200	177	71	214	162	90	215
ENSG00000013523	62	94	59	120	64	87	96	109	256	161	313	233	83	278
ENSG00000013561	316	413	469	541	425	407	577	510	978	949	1046	722	554	781
ENSG00000013563	226	235	268	274	184	265	339	281	820	495	901	771	446	661
ENSG00000013573	88	97	268	219	132	136	303	238	340	155	738	386	178	645
ENSG00000013583	47	65	53	67	82	79	49	62	411	182	315	201	153	174
ENSG00000013588	2	12	12	7	12	8	7	9	41	8	12	13	28	10
ENSG00000013619	7	10	11	3	26	8	0	1	255	80	86	377	45	104
ENSG00000013725	9	14	15	8	2	8	19	5	66	34	33	59	23	27
ENSG00000013810	127	250	451	529	172	251	676	571	933	503	2065	525	312	1255
ENSG00000014123	687	1130	1080	1567	621	1178	878	1104	2009	1415	1819	1662	924	1854
ENSG00000014138|	133	92	142	143	62	91	259	227	197	117	326	252	206	298
ENSG00000014164	5	33	29	24	20	23	37	31	373	225	148	158	197	165
ENSG00000014216	339	235	366	408	263	191	413	444	930	441	1066	645	382	949
ENSG00000014257	554	675	1170	1358	234	353	921	836	267	71	3148	679	49	4664
ENSG00000014641	525	445	669	878	370	445	1084	965	1316	441	1642	1189	543	1809
ENSG00000014824	882	951	1372	1512	682	1002	1439	1352	1513	849	1837	1310	723	1817
ENSG00000014914	41	61	96	106	17	38	87	87	179	121	196	158	170	138
ENSG00000014919	145	192	234	266	166	232	304	345	328	220	374	250	148	351
ENSG00000015133	171	209	192	237	148	233	192	207	2608	813	589	704	569	824
ENSG00000015153	54	97	126	104	121	108	130	131	392	237	330	183	179	228
ENSG00000015171	112	127	321	328	208	145	371	289	620	548	1059	328	316	720
ENSG00000015285	130	127	135	180	119	126	125	135	1056	464	1257	678	498	898
ENSG00000015413	4	1	12	5	1	0	5	6	16	5	49	5	1	15
ENSG00000015475	298	292	421	348	351	323	446	396	303	476	473	261	449	344
ENSG00000015479|	2244	2436	2907	2868	2237	2656	2824	3395	4963	2892	4315	3834	3310	5059
ENSG00000015532	40	53	93	86	72	73	113	105	301	158	250	84	79	211
ENSG00000015568	320	295	215	335	447	318	180	227	1078	899	274	683	503	639
ENSG00000015676	176	230	311	311	169	223	395	381	868	430	882	566	314	886
ENSG00000016082	2	0	2	3	2	0	3	4	16	9	7	3	6	12
ENSG00000016391	1	3	3	0	1	4	4	6	12	1	1	5	0	6
ENSG00000016864	59	53	116	108	59	107	141	119	231	101	282	162	83	338
ENSG00000017260	1243	780	741	571	1826	1174	696	734	3371	1825	1713	2452	1059	1444
ENSG00000017483	111	31	20	29	33	50	54	42	233	120	59	111	225	56
ENSG00000017797	789	898	1488	1814	758	1155	1554	1545	8462	6869	7165	1699	1822	3079
ENSG00000018189	96	82	161	138	133	152	119	92	559	250	267	370	272	278
ENSG00000018280	39	31	31	24	46	8	39	20	51	51	76	45	12	48
ENSG00000018408	15	40	52	60	14	11	38	54	126	41	159	50	11	59
ENSG00000018510	486	488	727	836	346	519	734	811	980	597	972	795	600	986
ENSG00000018610	179	190	150	199	176	212	206	242	385	200	400	327	270	385
ENSG00000018699	115	177	208	196	104	146	203	194	130	63	136	151	129	264
ENSG00000018869	2	1	3	13	4	7	4	14	6	0	6	8	6	15
ENSG00000019102	5	5	107	56	2	0	74	34	1	0	49	10	3	191
ENSG00000019144	314	410	554	807	294	324	525	717	667	332	886	709	270	1849
