Unnamed: 0	GSM4273334	GSM4273341	GSM4273348	GSM4273355	GSM4273362	GSM4273369	GSM4273376	GSM4273383
ENSG00000095713	445	335	517	489	604	571	578	612
ENSG00000011566	1455	1065	1111	986	1149	1344	904	1244
ENSG00000011590	3	3	2	5	5	11	2	6
ENSG00000011600	16227	9496	12983	9057	15378	15942	12035	11115
ENSG00000011638	157	134	139	137	157	173	231	188
ENSG00000012048	722	369	765	604	482	350	327	249
ENSG00000012061	1757	1223	1714	1498	1494	2122	1106	1716
ENSG00000012124	2181	1003	1923	1257	2216	2097	1436	1349
ENSG00000012171	13	6	8	5	4	9	5	4
ENSG00000012174	883	918	766	919	751	738	944	972
ENSG00000012211	208	161	154	197	193	212	210	191
ENSG00000012232	1056	823	878	834	1106	807	938	829
ENSG00000012660	3510	3674	3110	3385	4468	3500	6213	5032
ENSG00000012779	513	109	1401	217	276	1027	521	243
ENSG00000012817	55	2	1	3	2046	2307	1830	2616
ENSG00000012822	3019	2162	3317	3358	3899	3909	2966	4004
ENSG00000012963	2471	1441	1974	1377	1972	2593	1671	2209
ENSG00000012983	797	732	747	921	609	666	587	724
ENSG00000013016	319	168	142	69	368	274	214	182
ENSG00000013275	876	786	700	780	789	854	849	902
ENSG00000013288	3154	2326	2878	2811	3329	3387	2815	2938
ENSG00000013293	4	15	9	12	12	10	16	10
ENSG00000013297	3	4	4	5	4	1	4	5
ENSG00000013306	3069	2242	2522	2394	2895	2726	2986	2619
ENSG00000013364	7932	8936	7200	9145	7951	7408	9611	10499
ENSG00000013374	1320	1813	1269	2184	1120	1350	1541	2271
ENSG00000013375	1262	1383	1068	1257	911	1077	1127	1369
ENSG00000013392	391	382	313	376	261	376	354	466
ENSG00000118004	1562	933	1431	1250	1579	1491	1305	1485
ENSG00000013503	288	303	279	280	272	282	298	339
ENSG00000013523	3682	3119	3246	3261	3891	3667	3587	3643
ENSG00000013561	1471	1372	1224	1494	1487	1434	1734	1723
ENSG00000013563	1635	1233	1526	1432	1634	1710	1637	1815
ENSG00000013573	543	269	1163	1085	493	538	472	587
ENSG00000013583	1588	1207	1537	1315	1885	1372	1792	1393
ENSG00000013588	9	25	11	28	6	11	7	19
ENSG00000013619	111	154	69	214	121	80	105	105
ENSG00000013725	69	25	59	25	154	101	66	66
ENSG00000013810	1224	659	1390	929	785	753	489	618
ENSG00000014123	1343	1344	1166	1451	1258	854	1244	948
ENSG00000014138	657	439	666	527	394	412	392	448
ENSG00000014164	450	435	428	595	398	452	542	488
ENSG00000014216	3751	3408	3574	3683	4035	3811	4045	4041
ENSG00000014257	166	174	99	198	85	159	78	211
ENSG00000014641	11842	8273	10133	7195	12080	13382	11171	11200
ENSG00000014824	1713	1530	1608	1722	1695	1808	1687	1827
