GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
23244	0	0	0	0	0	0	0	0	0	0	0	-0.5883989243101337
23271	0	0	0	0	0	0	0	0	0	0	0	0
23300	0	0	0	0	0	0	0	0	0	0	0	0
23321	0	0	0	0	0	0	0	0	0	0	0	-0.06158425741680418
23325	0	0	0	0	0	0	0	0	0	0	0	0
23326	0	0	0	0	0	0	0	0	0	0	0	0
23335	0	0	0	0	0	0	0	0	0	0	0	0
23338	0	0	0	0	0	0	0	0	0	0	-0.3971171385505945	0
23365	0	0	0	0	0	0	0	-5.141850251744974	0	0	0	0
23368	0	0	0	0	0	0	0	0	0	0	0	0
23378	0	0	0	0	0	0	0	0	0	0	-1.5141169190112933	0
23386	0	0	0	0	0	0	0	0	0	0	0	0
23410	0	0	0	0	0	0	0	0	0	0	0	0
23443	0	0	0	0	0	0	0	0	0	0	0	0
23463	0	0	0	0	0	0	0	0	0	0	0	0
23499	0	0	0	0	0	0	0	0	0	0	0	0
23512	0	0	0	0	0	0	0	0	0	0	-0.14713185206751497	0
23522	0	0	0	0	0	0	0	0	0	0	0	-0.47507078393176577
2353	0	0	0	0	0	0	0	0	0	0	0	0
23530	0	0	0	0	0	0	0	0	0	0	0	0
23536	0	0	0	0	0	0	0	0	0	0	-0.7170249536740341	0
2356	-0.7651968836228208	0	0	0	0	0	0	0	0	0	0	0
23585	0	0	0	0	0	0	0	0	0	0	0	0
23588	0	0	0	0	0	0	0	0	0	0	-0.3123980439339313	0
23597	0	0	0	0	0	0	0	0	0	0	0	0
23635	0	0	0	0	0	0	0	0	0	0	0	0
23636	0	0	0	0	0	0	0	0	0	0	0	0
23647	0	0	0	0	0	0	0	0	0	0	0	0
23658	0	0	0	0	0	0	0	0	0	0	0	0
23659	0	0	0	0	0	0	0	0	0	0	0	0
23670	0	0	0	0	0	0	0	0	0	0	0	0
24149	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0
2523	0	0	0	0	0	0	0	0	0	0	-0.7134603122754459	0
2534	0	0	0	0	0	0	0	0	0	0	0	-1.367390692296452
2542	0	0	0	0	0	0	0	0	0	0	0	0
2548	0	0	0	0	0	0	0	0	0	0	0	0
2553	0	0	0	0	0	0	0	0	0	0	0	0
256364	0	0	0	0	0	0	0	0	0	0	0	0
25793	0	0	0	0	0	0	0	0	0	0	0	0
25803	0	0	0	0	0	0	0	0	0	0	0	0
25805	0	0	0	0	0	0	0	0	0	0	0	0
2582	0	0	0	0	0	0	0	0	0	0	0	0
25825	0	0	0	0	0	0	0	0	0	0	0	0
25839	0	0	0	0	0	0	0	0	0	0	-0.46449608214413474	0
25874	0	0	0	0	0	0	0	0	0	0	0	0
25932	0	0	0	0	0	0	0	0	0	0	0	0
25966	0	0	0	0	0	0	0	0	0	0	0	0
2597	0	0	0	0	0	0	0	0	0	0	0	0
25976	0	0	0	0	0	0	0	0	0	0	-0.3788920066016034	0
25987	0	0	0	0	0	0	0	0	0	0	0	0
26001	0	0	0	0	0	0	0	0	0	0	0	0
26020	0	0	0	0	0	0	0	0	0	0	0	0
26036	0	0	0	0	0	0	0	0	0	0	-0.5756790154404612	0
