,pert_iname,clinical_phase,moa,target,disease_area,indication
5331,saquinavir,Launched,HIV protease inhibitor,CYP3A4,infectious disease,human immunodeficiency virus (HIV-1)
5334,sarafloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5338,saroglitazar,Launched,PPAR receptor agonist,PPARA|PPARG,endocrinology|cardiology|gastroenterology,diabetes mellitus|dyslipidemia|non-alcoholic steatohepatitis (NASH)
5339,sarpogrelate,Launched,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,endocrinology|cardiology|rheumatology,diabetes mellitus|angina pectoris|Raynaud's disease|atherosclerosis|Buerger's disease
5344,sasapyrine,Launched,NFkB pathway inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis
5347,saxagliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
5416,sclareolide,Launched,other antifungal,,,
5417,SCMC-Lys,Launched,mucolytic agent,GSTP1,pulmonary,chronic obstructive pulmonary disease (COPD)
5418,scopine,Launched,,,,
5419,scopolamine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|SI,neurology/psychiatry|gastroenterology,motion sickness|vomiting|nausea
5437,secalciferol,Launched,vitamin D receptor agonist,VDR,critical care,bone fracture
5440,secnidazole,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,infectious disease,protozoan infection
5444,segesterone-acetate,Launched,progesterone receptor agonist,PGR,,
5446,selamectin,Launched,nematocide,,infectious disease,flea control
5447,selegiline,Launched,monoamine oxidase inhibitor,MAOA|MAOB,neurology/psychiatry,Parkinson's Disease
5448,selenomethionine,Launched,,,,
5450,selexipag,Launched,IP1 prostacyclin receptor agonist|platelet aggregation inhibitor,PTGIR,pulmonary,pulmonary arterial hypertension (PAH)
5452,selinexor,Launched,exportin antagonist,XPO1,hematologic malignancy,multiple myeloma
5462,sennoside-A,Launched,glycoside agonist,,gastroenterology,constipation
5466,seratrodast,Launched,prostanoid receptor antagonist,TBXA2R,pulmonary,asthma
5468,serotonin,Launched,growth factor receptor activator,DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|SLC36A1,neurology/psychiatry,anxiety|depression|sleeplessness
5469,sertaconazole,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis
5471,sertraline,Launched,selective serotonin reuptake inhibitor (SSRI),SLC6A3|SLC6A4,neurology/psychiatry|obstetrics/gynecology,depression|obsessive compulsive disorder (OCD)|panic disorders|posttraumatic stress disorder|premenstrual syndrome|social anxiety disorder
5474,setiptiline,Launched,adrenergic receptor antagonist,HRH1|HTR2A|HTR2C,neurology/psychiatry,depression
5476,sevoflurane,Launched,membrane integrity inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1,neurology/psychiatry,anesthetic
5494,sildenafil,Launched,phosphodiesterase inhibitor,PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3,urology,erectile dysfunction
5495,silibinin,Launched,cytochrome P450 inhibitor,ALOX5,gastroenterology,hepatic cirrhosis
5496,silodosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology,benign prostatic hyperplasia (BPH)
5497,silver-sulfadiazine,Launched,PABA antagonist,,critical care,sepsis
5498,silymarin,Launched,,,,
5499,simeprevir,Launched,HCV inhibitor,CYP1A2|CYP3A4,infectious disease,hepatitis C
5501,simvastatin,Launched,HMGCR inhibitor,HMGCR|ITGB2,endocrinology|cardiology|neurology/psychiatry,hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
5506,siponimod,Launched,sphingosine 1-phosphate receptor modulator,S1PR1,neurology/psychiatry,multiple sclerosis
5509,sirolimus,Launched,mTOR inhibitor,FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis
5512,sisomicin,Launched,protein synthesis inhibitor,,ophthalmology,conjunctivitis|punctate keratitis
5513,sisomicin-sulfate,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,gram-negative bacterial infections
5515,sitafloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,buruli ulcer
5516,sitagliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
5520,sivelestat,Launched,elastase inhibitor,CELA1|ELANE,pulmonary,acute lung injury
5546,SN-38,Launched,topoisomerase inhibitor,TOP 1.00,oncology,colorectal cancer
5558,sobrepin,Launched,mucolytic agent,,pulmonary,chest congestion
5559,sobuzoxane,Launched,topoisomerase inhibitor,,hematologic malignancy,peripheral T-cell lymphoma (PTCL)
5560,sodium-ascorbate,Launched,,,,
5563,sodium-dodecyl-sulfate,Launched,,ALB,,
5564,sodium-gluconate,Launched,,,,
5565,sodium-gualenate,Launched,antacid,,gastroenterology|otolaryngology,peptic ulcer disease (PUD)|pharyngitis
5566,sodium-monofluorophosphate,Launched,,PYGM,dental,cavities
5567,sodium-nitrite,Launched,nitric oxide donor,,critical care,poison antidote|cyanide poisoning
5568,sodium-nitroprusside,Launched,nitric oxide donor,,cardiology,hypertension|congestive heart failure
5570,sodium-picosulfate,Launched,,,gastroenterology,constipation
5571,sodium-stibogluconate,Launched,tyrosine phosphatase inhibitor,PTPN6,infectious disease,leishmaniasis
5573,sodium-tetradecyl-sulfate,Launched,,PROC,dermatology,varicose veins
5574,sofalcone,Launched,mucus protecting agent,CBR1,gastroenterology,peptic ulcer disease (PUD)
5575,sofosbuvir,Launched,HCV inhibitor,,infectious disease,hepatitis C|hepatitis C
5580,solifenacin-succinate,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence|urinary frequency
5582,solriamfetol,Launched,dopamine reuptake inhibitor,,neurology/psychiatry,narcolepsy
5584,somatostatin,Launched,somatostatin receptor agonist,OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5,hematology,hemorrhage
5586,sonidegib,Launched,smoothened receptor antagonist,SMO,oncology,basal cell carcinoma (BCC)
5588,sorafenib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,oncology,renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)
5590,sorbic-acid,Launched,,,,
5593,sorbitol,Launched,mucolytic agent,,gastroenterology,constipation
5595,sotalol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|KCNH2,cardiology,atrial fibrillation (AF)|ventricular arrhythmias
5600,spaglumic-acid,Launched,glutamate receptor antagonist,GRM3,allergy,allergic conjunctivitis|allergic rhinitis
5604,sparteine-(+),Launched,,,,
5605,sparteine-(-),Launched,,,,
5606,sparteine-sulfate,Launched,,,,
5608,spectinomycin,Launched,bacterial 30S ribosomal subunit inhibitor,,pulmonary,airsacculitis|chronic respiratory disease
5612,spiperone,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7,neurology/psychiatry,schizophrenia
5614,spiramycin,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,toxoplasmosis|soft tissue infection
5616,spironolactone,Launched,mineralocorticoid receptor antagonist,AR|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CYP11B2|NR3C1|NR3C2|PGR|SHBG,endocrinology|cardiology|gastroenterology|rheumatology,hyperaldosteronism|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|hypertension|hypokalemia
5656,stavudine,Launched,DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
5658,stepronin,Launched,mucolytic agent,,,
5659,stetaderm,Launched,,,,
5665,stiripentol,Launched,GABA uptake inhibitor,GABRA3,neurology/psychiatry,epilepsy
5667,streptomycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,tuberculosis
5668,streptozotocin,Launched,DNA alkylating agent,,oncology,pancreatic cancer
5669,strontium-ranelate,Launched,bone formation stimulant|bone resorption inhibitor,CASR,orthopedics|rheumatology,osteoporosis|osteoarthritis
5672,succinic-acid,Launched,,ALDH5A1|ASPH|BBOX1|HSD17B6|OXCT1|OXCT2|P3H1|P3H2|P3H3|P4HA1|P4HA2|PLOD1|PLOD3|SDHA|SDHB|SDHC|SDHD|SLC13A1|SLC13A2|SLC13A3|SLC25A10|SUCLA2|SUCLG1|SUCLG2|SUCNR1|TMLHE,,
5674,succinylcholine-chloride,Launched,,CHRFAM7A|CHRM1|CHRM2|CHRM3|CHRNA1|CHRNA10,neurology/psychiatry,muscle relaxant
5676,sucralfate,Launched,antacid,,gastroenterology,duodenal ulcer disease
5677,sucralose,Launched,,,,
5678,sucrose,Launched,,ACTA1|ATOX1|C22orf28|LYZ,,
5682,sugammadex,Launched,neuromuscular blockade reversal agent,,,
5683,sulbactam,Launched,beta lactamase inhibitor,,infectious disease,skin infections|intra-abdominal infections|gynecologic infections
5684,sulbactam-pivoxil,Launched,beta lactamase inhibitor,,infectious disease,skin infections
5686,sulbutiamine,Launched,acetylcholine receptor antagonist,,neurology/psychiatry,asthenia
5687,sulconazole,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis
5688,sulfabenzamide,Launched,bacterial antifolate,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5690,sulfacetamide,Launched,PABA antagonist,,ophthalmology,conjunctivitis
5691,sulfachlorpyridazine,Launched,bacterial antifolate,,infectious disease,urinary tract infections
5692,sulfadiazine,Launched,bacterial antifolate,,infectious disease|ophthalmology,malaria|meningitis|urinary tract infections|conjunctivitis|trachoma|chancroid
5693,sulfadoxine,Launched,dihydropteroate synthase inhibitor,,infectious disease,malaria
5694,sulfafurazole,Launched,bacterial antifolate,,infectious disease,urinary tract infections
5695,sulfaguanidine,Launched,bacterial antifolate,,infectious disease,urinary tract infections
5696,sulfamerazine,Launched,bacterial antifolate,,infectious disease,coccidiosis|cholera
5697,sulfameter,Launched,dihydrofolate reductase inhibitor,DHFR,infectious disease,urinary tract infections
5698,sulfamethazine,Launched,PABA antagonist,,gastroenterology,enteritis
5699,sulfamethizole,Launched,bacterial antifolate,,infectious disease,urinary tract infections
5700,sulfamethoxazole,Launched,PABA antagonist,,infectious disease|gastroenterology,pneumonia|enteritis|urinary tract infections
5702,sulfametopyrazine,Launched,PABA antagonist,,infectious disease,malaria|urinary tract infections|respiratory tract infections
5703,sulfamonomethoxine,Launched,bacterial antifolate,,infectious disease,urinary tract infections
5704,sulfamoxole,Launched,PABA antagonist,,infectious disease,urinary tract infections
5705,sulfanilamide,Launched,carbonic anhydrase inhibitor,CYP2C19|CYP2C9|CYP2D6|CYP2E1|CYP3A4,infectious disease,vulvovaginal candidiasis
5707,sulfanitran,Launched,,,infectious disease,coccidiosis
5708,sulfaphenazole,Launched,dihydropteroate synthetase inhibitor,DHPS,infectious disease,urinary tract infections
5709,sulfapyridine,Launched,PABA antagonist,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5710,sulfaquinoxaline,Launched,vitamin K antagonist,,infectious disease,coccidiosis
5711,sulfasalazine,Launched,cyclooxygenase inhibitor,ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1,gastroenterology,ulcerative colitis
5712,sulfathiazole,Launched,dihydropteroate synthase inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5714,sulfinpyrazone,Launched,uricosuric blocker,ABCC1|FPR1|SLC22A12,rheumatology,gout
5716,sulfisoxazole-acetyl,Launched,folic acid antagonist,,infectious disease|otolaryngology,meningitis|urinary tract infections|otitis|trachoma
5718,sulindac,Launched,cyclooxygenase inhibitor,AKR1B1,rheumatology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis
5719,sulisobenzone,Launched,,,dermatology,sunscreen lotion
5721,sulmetozine,Launched,gastrin inhibitor,GAST,gastroenterology,peptic ulcer disease (PUD)
5724,sulphadimethoxine,Launched,dihydropteroate synthetase inhibitor,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5725,sulpiride,Launched,dopamine receptor antagonist,,neurology/psychiatry,schizophrenia
5726,sultamicillin,Launched,antibacterial ,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections
5730,sumatriptan,Launched,serotonin receptor agonist,HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7,neurology/psychiatry,migraine headache
5733,sunitinib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,oncology,gastrointestinal stromal tumors (GIST)|renal cell carcinoma (RCC)|neuroendocrine tumors of pancreatic origin (PNET)
5734,suplatast,Launched,histamine release inhibitor|immunoglobulin inhibitor,,rheumatology,Kimura's disease
5736,suramin,Launched,DNA synthesis inhibitor,F2|FSHR|P2RY1|P2RY11|P2RY13|P2RY2|PLA2G2A|RYR1|RYR2|SIRT5,infectious disease,African trypanosomiasis|onchocerciasis
5739,suxibuzone,Launched,cyclooxygenase inhibitor,,rheumatology|neurology/psychiatry,joint pain|muscle pain
5752,synephrine,Launched,adrenergic receptor agonist,ADRA1A,otolaryngology,sinusitis
5771,tacalcitol,Launched,vitamin D receptor agonist,VDR,dermatology,psoriasis|chapped lips
5773,tacrine,Launched,acetylcholinesterase inhibitor,ACHE|BCHE,neurology/psychiatry,Alzheimer's disease
5774,tacrolimus,Launched,calcineurin inhibitor,FKBP1A,transplant,organ rejection
5775,tadalafil,Launched,phosphodiesterase inhibitor,PDE11A|PDE5A,urology,erectile dysfunction
5776,tafamidis-meglumine,Launched,transthyretin amyloid inhibitor,TTR,neurology/psychiatry,familial amyloid polyneuropathy (FAP)
5777,tafenoquine,Launched,antimalarial agent,,infectious disease,malaria
5778,tafluprost,Launched,prostaglandin inhibitor,PTGFR,ophthalmology,glaucoma|ocular hypertension
5779,tagatose,Launched,phosphorylase inhibitor,PYGL,,
5798,talazoparib,Launched,PARP inhibitor,PARP2,oncology,breast cancer
5799,talinolol,Launched,adrenergic receptor antagonist,ADRB1,cardiology,hypertension
5800,talipexole,Launched,adrenergic receptor agonist|dopamine receptor agonist,ADRA2A|DRD2|HTR3A,infectious disease,genitial herpes
5803,talniflumate,Launched,cyclooxygenase inhibitor,CLCA1,neurology/psychiatry,pain relief
5806,taltirelin,Launched,thyrotropin releasing hormone receptor agonist,TRHR,neurology/psychiatry,spinocerebellar ataxia
5809,tamibarotene,Launched,retinoid receptor agonist,RARA|RARB,hematologic malignancy,acute promyelocytic leukemia (APL)
5811,tamoxifen,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,oncology,breast cancer
5812,tamsulosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology,benign prostatic hyperplasia (BPH)
5814,tandospirone,Launched,serotonin receptor agonist,HTR1A,neurology/psychiatry,generalized anxiety disorder (GAD)|dysthymic disorder
5818,tannic-acid,Launched,PARG inhibitor,ANO1,gastroenterology,constipation
5827,tartaric-acid,Launched,antioxidant,,,
5830,tasimelteon,Launched,melatonin receptor agonist,MTNR1A|MTNR1B,neurology/psychiatry,Non-24-Hour Sleep-Wake Disorder
5834,taurine,Launched,antioxidant,,neurology/psychiatry,anxiety|irritability|sleeplessness
5837,taurolidine,Launched,apoptosis stimulant,,infectious disease,catheter-related bloodstream infection
5838,tavaborole,Launched,leucyl-tRNA synthetase inhibitor,,infectious disease,onychomycosis
5841,tazarotene,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRB,dermatology,cosmetic|sunscreen lotion
5842,tazemetostat,Launched,histone lysine methyltransferase inhibitor,EZH2,,
5843,tazobactam,Launched,beta lactamase inhibitor,,infectious disease,pneumonia
5889,tebipenem,Launched,bacterial cell wall synthesis inhibitor,CNR1,infectious disease|otolaryngology,pneumonia|otitis
5893,tecovirimat,Launched,orthopoxvirus egress inhibitor,,infectious disease,smallpox
5894,tedizolid,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,skin infections
5895,tedizolid-phosphate,Launched,protein synthesis inhibitor,,infectious disease,skin infections
5898,teicoplanin,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
5899,teicoplanin-A2-1,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
5900,teicoplanin-A2-3,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
5902,telaprevir,Launched,HCV inhibitor,CTSA|PGR,infectious disease,hepatitis C
5904,telbivudine,Launched,DNA polymerase inhibitor,,infectious disease,hepatitis B
5907,telithromycin,Launched,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor,CYP1A2|CYP2D6|CYP3A4|CYP3A5|CYP3A7,infectious disease,pneumonia
5908,telmesteine,Launched,mucolytic agent,,pulmonary,cough suppressant
5909,telmisartan,Launched,angiotensin receptor antagonist,AGTR1|PPARG,cardiology,hypertension
5910,telotristat,Launched,tryptophan hydroxylase inhibitor,TPH1,gastroenterology,diarrhea
5911,telotristat-ethyl,Launched,tryptophan hydroxylase inhibitor,TPH1,gastroenterology,diarrhea
5914,temefos,Launched,cholinesterase inhibitor,,,
5915,temocapril,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology|nephrology,hypertension|congestive heart failure|diabetic nephropathy|coronary artery disease (CAD)
5916,temoporfin,Launched,radical formation stimulant,,oncology,head and neck squamous cell carcinoma (HNSCC)
5917,temozolomide,Launched,DNA alkylating agent,MGMT,oncology,glioblastoma|astrocytoma
5919,temsirolimus,Launched,mTOR inhibitor,MTOR,oncology,renal cell carcinoma (RCC)
5922,tenapanor,Launched,sodium/hydrogen exchanger inhibitor,,,
5924,teneligliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus
5927,teniposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL)
5928,tenofovir,Launched,HIV integrase inhibitor|nucleoside reverse transcriptase inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)|hepatitis B
5929,tenofovir-alafenamide,Launched,nucleoside reverse transcriptase inhibitor,,infectious disease,hepatitis B
5930,tenofovir-disoproxil,Launched,nucleoside reverse transcriptase inhibitor,CYP1A2,infectious disease,human immunodeficiency virus (HIV-1)|hepatitis B
5933,tenoxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology|orthopedics,rheumatoid arthritis|osteoarthritis|ankylosing spondylitis|tendinitis|bursitis|periarthritis
5935,tepoxalin,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor,ALOX5,rheumatology|orthopedics,rheumatoid arthritis|hip dysplasia
5937,teprenone,Launched,mucus protecting agent,,dermatology,cosmetic
5939,terazosin,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension
5940,terbinafine,Launched,fungal squalene epoxidase inhibitor,SQLE,infectious disease,tinea pedis|tinea cruris|tinea corporis
5941,terbutaline,Launched,adrenergic receptor agonist,ADRB2,pulmonary,bronchospasm|bronchitis|emphysema
5943,terconazole,Launched,sterol demethylase inhibitor,,infectious disease,vulvovaginal candidiasis
5945,terguride,Launched,dopamine receptor agonist|serotonin receptor antagonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD2|DRD3|DRD4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,neurology/psychiatry,Parkinson's Disease
5946,teriflunomide,Launched,dihydroorotate dehydrogenase inhibitor,DHODH,neurology/psychiatry,multiple sclerosis
5947,terlipressin,Launched,vasopressin receptor agonist,AVPR1A,cardiology,hypotension
5955,tetrabenazine,Launched,vesicular monoamine transporter inhibitor,SLC18A1|SLC18A2,infectious disease|neurology/psychiatry,cholera|Huntington's disease
5956,tetracaine,Launched,membrane integrity inhibitor,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,anesthetic
5957,tetracycline,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease|dermatology,respiratory tract infections|pneumonia|skin infections|urinary tract infections|acne vulgaris (AV)|plague|psittacosis
5960,tetrahydrofolic-acid,Launched,,FOLR2,,
5963,tetrahydrozoline,Launched,adrenergic receptor agonist,,ophthalmology,eye irritation
5965,tetramisole,Launched,immunostimulant,ALPPL2|CHRNA3,infectious disease,gastrointestinal parasites
5970,tezacaftor,Launched,CFTR channel agonist,,pulmonary,cystic fibrosis
5984,thalidomide,Launched,tumor necrosis factor production inhibitor,TNF,oncology,myeloma
5986,theobromine,Launched,phosphodiesterase inhibitor,ADORA1|ADORA2A|PDE4B,,
5988,thiamine,Launched,vitamin B,SLC19A2|SLC19A3|TPK1,metabolism,thiamine deficiency
5989,thiamine-pyrophosphate,Launched,,,hematology,anemia
5990,thiamphenicol,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,pelvic inflammatory disease
5991,thiamylal,Launched,glutamate receptor antagonist,GABRA1,neurology/psychiatry,sedative
5993,thiethylperazine,Launched,dopamine receptor antagonist,DRD1|DRD2|DRD4,gastroenterology,nausea
5994,thiocolchicoside,Launched,GABA receptor antagonist,GABRA1|GABRB2|GABRG2|GLRA1|GLRB,neurology/psychiatry,muscle relaxant
5995,thioctic-acid,Launched,reducing agent,ACHE|PTGS2,nephrology,diabetic nephropathy
5997,thioguanine,Launched,purine antagonist,IMPDH1|IMPDH2,hematologic malignancy,acute myeloid leukemia (AML)
5998,thiomersal,Launched,other antibiotic,OXCT1,infectious disease,preservative
5999,thiopental,Launched,GABA receptor antagonist,FAAH,neurology/psychiatry,anesthetic
6002,thioproperazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,schizophrenia
6005,thiostrepton,Launched,FOXM1 inhibitor|protein synthesis inhibitor,FOXM1,obstetrics/gynecology,mastitis
6006,thiotepa,Launched,cytochrome P450 inhibitor,CYP2B6|CYP3A4,oncology,breast cancer|ovarian cancer|bladder cancer
6007,thiothixene,Launched,dopamine receptor antagonist,DRD1|DRD2|HRH1|HTR2A,neurology/psychiatry,schizophrenia
6008,thiram,Launched,,JAK2,ophthalmology,contact dermatitis
6010,thonzonium,Launched,ATPase inhibitor,,infectious disease,ear infections
6011,thonzylamine,Launched,antihistamine,,neurology/psychiatry,itching
6013,thymalfasin,Launched,immune response modulator,,infectious disease,hepatitis B|hepatitis C
6014,thymol,Launched,GABA receptor positive allosteric modulator,TRPA1,infectious disease,ringworm|antiseptic
6016,thymopentin,Launched,immune response stimulator,,,
6020,tiabendazole,Launched,angiogenesis inhibitor,,infectious disease,gastrointestinal roundworms|hookworm
6021,tiagabine,Launched,GABA uptake inhibitor,SLC6A1,neurology/psychiatry,seizures
6022,tianeptine,Launched,selective serotonin reuptake enhancer (SSRE),OPRD1|OPRK1|OPRM1,neurology/psychiatry|pulmonary|gastroenterology,depression|asthma|irritable bowel syndrome
6023,tiapride,Launched,dopamine receptor antagonist,DRD2|DRD3,neurology/psychiatry,dyskinesia|abstinence from alcohol|psychosis
6024,tiaprofenic-acid,Launched,cyclooxygenase inhibitor,PTGS2,rheumatology,rheumatoid arthritis
6025,tiaramide,Launched,anti-inflammatory agent,,pulmonary,asthma
6026,tibolone,Launched,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist,ESR1,obstetrics/gynecology,endometriosis
6027,ticagrelor,Launched,purinergic receptor antagonist,P2RY12,cardiology,acute coronary syndrome (ACS)|myocardial infarction
6028,ticarcillin,Launched,lactamase inhibitor,,infectious disease,gram-negative bacterial infections
6029,ticlopidine,Launched,purinergic receptor antagonist,P2RY12,hematology|neurology/psychiatry,thrombosis|stroke
6035,tigecycline,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,skin infections|pneumonia|intra-abdominal infections
6036,tilmicosin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bovine respiratory disease (BRD)
6037,tilorone,Launched,interferon inducer,,infectious disease|gastroenterology|neurology/psychiatry,influenza A virus infection|diarrhea|hepatitis B|multiple sclerosis|urinary tract infections|virus herpes simplex (HSV)|hepatitis C
6038,tiludronate,Launched,bone resorption inhibitor|osteoclast inhibitor,ATP6V1A|MMP2|PTPN1,orthopedics,navicular syndrome
6040,timolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,ophthalmology,ocular hypertension|glaucoma
6041,timonacic,Launched,antioxidant,,,
6042,tinazoline,Launched,adrenergic receptor agonist,,,
6043,tinidazole,Launched,antiprotozoal agent,,infectious disease|obstetrics/gynecology,giardiasis|amebiasis|bacterial vaginosis|trichomoniasis
6044,tinoridine,Launched,anti-inflammatory agent,,neurology/psychiatry,pain relief
6045,tioconazole,Launched,sterol demethylase inhibitor,,infectious disease,yeast infection
6046,tioguanine,Launched,purine antagonist,,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)
6047,tiopronin,Launched,chelating agent|reducing agent,,urology,kidney stones
6049,tiotropium,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,pulmonary,chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
6053,tipiracil,Launched,thymidine phosphorylase inhibitor,,oncology,colorectal cancer
6055,tipranavir,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1)
6057,tiquizium,Launched,acetylcholine receptor antagonist,,neurology/psychiatry,spasms
6061,tiratricol,Launched,thyroid hormone stimulant,THRA|THRB,endocrinology,Refetoff syndrome
6062,tirofiban,Launched,platelet aggregation inhibitor|structural glycoprotein antagonist,ITGA2B|ITGB3,cardiology,myocardial infarction|refactory angina
6065,tivozanib,Launched,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB,oncology,renal cell carcinoma (RCC)
6066,tizanidine,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|NISCH,neurology/psychiatry,spasms
6073,tobramycin,Launched,bacterial 30S ribosomal subunit inhibitor,,infectious disease,bacterial septicemia|respiratory tract infections|meningitis|skin infections|urinary tract infections
6074,tocainide,Launched,sodium channel blocker,SCN5A,cardiology,cardiac arrythmia
6075,toceranib,Launched,protein tyrosine kinase inhibitor,FLT1|FLT3|KDR|PDGFRA|PDGFRB,oncology,cutaneous mast cell tumors
6076,tocofersolan,Launched,antioxidant,,cardiology,cerebral cholesterosis
6077,todralazine,Launched,antihypertensive agent,,cardiology,hypertension
