pert	cell	pearson
clebopride	PC3	-0.10476010616508132
vorinostat	PC3	-0.104742066318123
fludarabine	NEU	-0.10467079880955447
thiethylperazine	ASC	-0.1045339872604518
tubocurarine	NEU	-0.1044452752775414
sitagliptin	PC3	-0.10441925543329242
betamethasone	SKB	-0.10438117765831235
quinine	MCF7	-0.10417842230666743
procarbazine	HCC515	-0.10416765176073944
ketotifen	PC3	-0.1039271524902393
trazodone	A549	-0.1038330369370996
bisoprolol	VCAP	-0.1038105488648646
resveratrol	ASC	-0.10373916240451136
tropisetron	PC3	-0.10368322835019986
digoxin	MCF7	-0.10365437987200168
dicycloverine	SKB	-0.10353965207189672
bosentan	VCAP	-0.10352429767168808
milrinone	ASC	-0.10349368296973052
moexipril	VCAP	-0.10349083014125268
propranolol	PC3	-0.10344044860348864
lansoprazole	PC3	-0.103326626362875
fulvestrant	MCF7	-0.10332149549181772
cholic-acid	A549	-0.1031174703380615
triprolidine	VCAP	-0.1029872224878891
papaverine	ASC	-0.1029845886983524
methoxsalen	VCAP	-0.102962629409967
chlorphenamine	ASC	-0.10290375650527082
brinzolamide	A549	-0.10289922702991527
icosapent	MCF7	-0.10289849229206272
ruxolitinib	SKBR3	-0.10287305011206754
ruxolitinib	PHH	-0.10279853104792554
palmitoylethanolamide	A549	-0.1026338539217022
rifaximin	VCAP	-0.10263355919193472
GR-235	A549	-0.10259191663728862
mitotane	VCAP	-0.10239357066989964
tiagabine	PC3	-0.10238823674837544
enalaprilat	MCF7	-0.1023784645413088
nimodipine	MCF7	-0.10235868717687012
pindolol	MCF7	-0.10232594281542964
bucladesine	ASC	-0.10228725589927498
sertaconazole	A549	-0.10215213132772452
tivozanib	VCAP	-0.10212355757223351
gefitinib	MCF10A	-0.10211837411215932
levetiracetam	A549	-0.10204584382399862
amlodipine	ASC	-0.1019238252816228
pravastatin	HCC515	-0.10191383076456494
carbamazepine	SKB	-0.10188309120109695
xylazine	A549	-0.10168590319225015
rilmenidine	HA1E	-0.10159571673945332
oxybuprocaine	A549	-0.10147751799840508
timolol	HCC515	-0.1012737422779431
pyrvinium-pamoate	PC3	-0.10127048036457802
fexofenadine	ASC	-0.10125835317821873
ouabain	PHH	-0.10122474741950888
loxapine	HCC515	-0.10116768904823938
rabeprazole	MCF7	-0.10106306195742826
gemfibrozil	A375	-0.10105506027743368
raltitrexed	SKB	-0.1010046033795854
tubocurarine	VCAP	-0.1009706196277846
benzylpenicillin	A549	-0.1009454946675354
ketanserin	ASC	-0.1009263600612364
dasatinib	SKBR3	-0.10087656322287412
ketorolac	PHH	-0.10085525354244194
desipramine	A549	-0.10085012576924524
brimonidine	ASC	-0.10084860579727294
glipizide	A549	-0.1007557307890974
ramipril	HT29	-0.10064774165572686
atomoxetine	MCF7	-0.10059653127622543
naltrexone	MCF7	-0.10036271833524196
clofibric-acid	SKB	-0.10029378482186473
pargyline	PC3	-0.10019472661475624
sotalol	MCF7	-0.10018885140735675
benzthiazide	HA1E	-0.10013185260788982
pirfenidone	NEU	-0.10009100762484643
mometasone	A549	-0.10006800764748498
lonidamine	PC3	-0.09997558256807448
atracurium	A549	-0.09994878350772832
enalaprilat	PC3	-0.09994160033562828
nicotine	VCAP	-0.09991980538374894
nimodipine	A375	-0.09987432306413405
olaparib	HS578T	-0.09982542535468476
triamterene	PC3	-0.09967422400573388
clofibric-acid	MCF7	-0.0995257544776175
raltitrexed	NPC	-0.09951734156771871
mexiletine	MCF7	-0.09949768931934291
sotalol	A549	-0.09948078680698796
mianserin	ASC	-0.09944577624100603
medrysone	A549	-0.09938304165214928
pioglitazone	A549	-0.09932912667523182
pizotifen	ASC	-0.0992828436900852
salmeterol	A549	-0.09920720545086266
molsidomine	NPC	-0.09903746659201604
mycophenolate-mofetil	A549	-0.09895935989306986
loteprednol	VCAP	-0.0988853856289626
resveratrol	HA1E	-0.09868422882573148
