Unnamed: 0	GSM4263940	GSM4263941	GSM4263942	GSM4263943	GSM4263944	GSM4263945
LCP2	1753	2059	2091	3364	3305	3807
TRIT1	133	92	152	158	78	133
ADRB1	6	2	4	4	5	6
GUCA2B	0	0	0	0	0	1
CUL7	910	613	771	831	438	959
CTNNA1	4907	5025	5471	5649	4934	6565
PHKA2	465	390	424	346	269	381
CNTLN	147	164	208	139	139	203
EPHA3	0	0	0	0	0	0
HSPA5	7688	10260	10601	16408	12951	13693
DSG2	3	3	4	8	3	13
GEMIN8	136	141	157	140	76	131
OFD1	179	230	151	201	166	183
GPM6B	5	20	3	2	7	8
MAGEC2	0	0	0	0	0	0
PREX2	0	0	1	0	1	6
WDR37	1323	1543	1322	987	790	1032
YTHDC2	330	366	386	274	217	303
CTPS2	112	114	115	68	62	95
ATP6V1H	5500	5195	2989	7984	5200	4564
POLR2B	1462	1486	1671	1597	1103	1744
FAM214A	551	424	395	312	187	268
ARAP2	991	752	641	1566	1128	1434
TPR	1475	1440	1812	1345	1041	1579
CP	28	59	27	151	248	300
KATNIP	511	509	473	429	296	515
DTNBP1	124	191	169	169	174	164
XK	14	24	15	9	4	9
ANO2	0	1	0	0	1	0
C12orf4	564	594	518	638	386	506
SCML1	81	120	155	112	86	179
WWC3	29	28	84	12	13	42
ARHGAP6	20	36	73	10	10	69
FAM184B	9	3	3	3	1	5
MAP4	3590	4247	3384	4377	3134	3615
GOPC	443	397	452	495	413	501
ROS1	1	0	2	1	0	12
USP28	349	390	340	569	461	549
HDAC9	390	306	257	486	242	284
TSPAN17	2582	2563	1338	2238	1314	913
NOP16	180	173	301	253	130	218
CC2D2A	78	55	65	60	39	53
RRM2B	780	881	872	691	816	985
ZNF800	349	302	310	358	303	399
TNFRSF17	0	0	1	0	0	0
SNX29	1112	1165	1126	861	519	971
LMO3	1	6	9	4	10	4
MRPS10	573	529	518	649	430	563
GUCA1A	2	1	1	2	1	0
RSF1	525	471	503	508	434	642
VPS13D	1506	1553	1588	1759	1202	1649
CELF2	925	1190	1687	463	485	757
FAM120A	4134	4155	4675	5074	3479	4961
R3HDM1	521	558	687	428	263	452
COL9A2	644	593	375	660	474	375
KITLG	34	37	93	21	26	98
ERCC8	187	221	203	163	130	174
ADAMTS6	1	5	17	1	1	4
H6PD	4920	2713	3327	8879	2932	10250
VAMP3	2024	2092	1865	2026	1745	1894
PER3	639	832	676	441	379	286
UTS2	0	0	0	0	1	0
TNFRSF9	60	38	87	388	222	849
EPN3	1	2	2	5	0	5
LTBP1	0	0	1	0	0	0
RCN1	400	325	630	900	544	961
ELN	3	2	4	2	5	1
RFC2	351	426	522	218	167	224
ARID1B	1004	983	1006	1058	844	1165
CLPTM1L	1113	1248	1290	1533	959	1451
NEDD4L	76	49	166	125	75	363
FOXP3	12	8	13	13	5	5
PPP1R3F	58	55	49	54	26	66
HEXB	5914	8328	8084	6004	6461	7736
PTCD2	153	159	160	197	92	139
NEXMIF	0	0	0	0	0	0
JKAMP	761	780	798	960	750	968
DKK3	0	0	0	0	0	0
ARHGEF5	7	13	21	40	23	65
NFE2L3	239	138	347	525	377	795
MCUR1	447	419	492	514	298	470
LIMA1	477	751	780	455	596	619
LETMD1	280	250	320	392	179	305
SLC4A8	1482	351	698	1119	171	624
LAMC3	2	2	1	0	2	2
PTGER3	0	0	29	1	0	12
TNIP3	7	8	9	53	86	372
MAPK9	453	511	558	420	308	438
COL23A1	30	19	12	4	2	6
BCAR1	643	203	255	961	257	518
FHIP1B	394	400	360	425	340	512
HERPUD1	1639	1326	1263	1946	1143	1667
HOMER3	264	368	667	134	205	411
RAD51	148	148	229	61	26	56
POLQ	153	195	301	56	18	71
PIK3CB	1504	1145	1361	1538	977	1706
CYBA	7767	6031	7539	9143	5327	10847
THOC3	387	193	310	362	107	169
HEBP2	146	107	227	133	78	227
MPHOSPH9	230	292	419	123	142	175
PLEKHA5	258	183	118	216	129	194
PRSS8	6	1	1	3	2	1
SIKE1	269	230	318	271	204	298
RRP12	1644	1081	1648	2221	1111	1754
FNIP2	6547	7343	3954	10746	7674	6363
MSMO1	1350	1899	1668	1387	1345	1702
TTC17	648	708	719	616	562	690
ALX4	2	0	2	0	0	0
FSTL4	0	0	1	1	1	0
FOXN3	1525	1828	1451	1369	1194	1473
METTL24	2	3	5	2	4	4
