GO_term	median_diff	p_value	statistic	p_adj	auroc
positive regulation of endothelial cell migration	0	0.7757488276460852	81.5	0.8893027267469643	0.4429347826086957
positive regulation of endothelial cell proliferation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of epidermal growth factor receptor signaling pathway	NA	NA	NA	NA	NA
positive regulation of epidermal growth factor-activated receptor activity	NA	NA	NA	NA	NA
positive regulation of epidermis development	NA	NA	NA	NA	NA
positive regulation of epithelial cell apoptotic process	NA	NA	NA	NA	NA
positive regulation of epithelial cell differentiation	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
positive regulation of epithelial cell migration	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
positive regulation of epithelial cell proliferation	0.2856051555420554	0.09403517877525187	118	0.6047946761229357	0.6413043478260869
positive regulation of epithelial cell proliferation involved in wound healing	NA	NA	NA	NA	NA
positive regulation of epithelial to mesenchymal transition	NA	NA	NA	NA	NA
positive regulation of epithelial tube formation	NA	NA	NA	NA	NA
positive regulation of erythrocyte differentiation	NA	NA	NA	NA	NA
positive regulation of establishment of protein localization to mitochondrion	NA	NA	NA	NA	NA
positive regulation of establishment of protein localization to telomere	NA	NA	NA	NA	NA
positive regulation of execution phase of apoptosis	NA	NA	NA	NA	NA
positive regulation of exocytosis	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of exosomal secretion	NA	NA	NA	NA	NA
positive regulation of extracellular matrix disassembly	NA	NA	NA	NA	NA
positive regulation of extracellular matrix organization	NA	NA	NA	NA	NA
positive regulation of extrinsic apoptotic signaling pathway	NA	NA	NA	NA	NA
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	NA	NA	NA	NA	NA
positive regulation of fat cell differentiation	NA	NA	NA	NA	NA
positive regulation of fatty acid oxidation	NA	NA	NA	NA	NA
positive regulation of fatty acid transport	NA	NA	NA	NA	NA
positive regulation of fever generation	0	NA	87	NA	0.47282608695652173
