GO_term	median_diff	p_value	statistic	p_adj	auroc
cellular response to nerve growth factor stimulus	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
cellular response to nicotine	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
cellular response to nitric oxide	NA	NA	NA	NA	NA
cellular response to nitrogen levels	NA	NA	NA	NA	NA
cellular response to nitrogen starvation	NA	NA	NA	NA	NA
cellular response to nutrient	NA	NA	NA	NA	NA
cellular response to osmotic stress	NA	NA	NA	NA	NA
cellular response to oxidised low-density lipoprotein particle stimulus	NA	NA	NA	NA	NA
cellular response to oxygen levels	0	0.36233397859303107	75	0.8017867405900627	0.4076086956521739
cellular response to oxygen radical	NA	NA	NA	NA	NA
cellular response to peptidoglycan	NA	NA	NA	NA	NA
cellular response to phorbol 13-acetate 12-myristate	NA	NA	NA	NA	NA
cellular response to platelet-derived growth factor stimulus	NA	NA	NA	NA	NA
cellular response to prostaglandin E stimulus	NA	NA	NA	NA	NA
cellular response to prostaglandin stimulus	0	NA	87	NA	0.47282608695652173
cellular response to radiation	NA	NA	NA	NA	NA
cellular response to reactive nitrogen species	NA	NA	NA	NA	NA
cellular response to reactive oxygen species	0.3654409252140174	0.2256654984701622	111.5	0.6628924017561015	0.6059782608695652
cellular response to retinoic acid	NA	NA	NA	NA	NA
cellular response to salt	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
cellular response to sodium arsenite	NA	NA	NA	NA	NA
cellular response to starvation	NA	NA	NA	NA	NA
cellular response to sterol	NA	NA	NA	NA	NA
cellular response to superoxide	NA	NA	NA	NA	NA
cellular response to thyroid hormone stimulus	NA	NA	NA	NA	NA
cellular response to topologically incorrect protein	NA	NA	NA	NA	NA
cellular response to toxic substance	NA	NA	NA	NA	NA
cellular response to type I interferon	NA	NA	NA	NA	NA
cellular response to type II interferon	-0.9146087614315312	0.006659279912576403	27	0.21414842245179905	0.14673913043478262
cellular response to unfolded protein	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
cellular response to vascular endothelial growth factor stimulus	NA	NA	NA	NA	NA
cellular response to virus	0	0.36042739207727437	68	0.8017867405900627	0.3695652173913043
cellular response to xenobiotic stimulus	NA	NA	NA	NA	NA
cellular response to zinc ion	NA	NA	NA	NA	NA
cellular senescence	NA	NA	NA	NA	NA
centromere complex assembly	NA	NA	NA	NA	NA
centrosome cycle	NA	NA	NA	NA	NA
centrosome duplication	NA	NA	NA	NA	NA
centrosome separation	NA	NA	NA	NA	NA
ceramide biosynthetic process	NA	NA	NA	NA	NA
ceramide catabolic process	NA	NA	NA	NA	NA
ceramide metabolic process	NA	NA	NA	NA	NA
cerebellar cortex development	NA	NA	NA	NA	NA
cerebellum development	NA	NA	NA	NA	NA
cerebral cortex radially oriented cell migration	NA	NA	NA	NA	NA
chaperone cofactor-dependent protein refolding	NA	NA	NA	NA	NA
chaperone-mediated protein folding	NA	NA	NA	NA	NA
chemokine (C-C motif) ligand 5 production	NA	NA	NA	NA	NA
chemokine (C-X-C motif) ligand 2 production	0	NA	87	NA	0.47282608695652173
chemokine production	0	NA	87	NA	0.47282608695652173
chemokine-mediated signaling pathway	NA	NA	NA	NA	NA
chitin catabolic process	NA	NA	NA	NA	NA
chitin metabolic process	NA	NA	NA	NA	NA
cholesterol biosynthetic process	NA	NA	NA	NA	NA
cholesterol metabolic process	NA	NA	NA	NA	NA
chondroitin sulfate biosynthetic process	NA	NA	NA	NA	NA
chromatin remodeling at centromere	NA	NA	NA	NA	NA
chromosome condensation	NA	NA	NA	NA	NA
chromosome localization	NA	NA	NA	NA	NA
chromosome movement towards spindle pole	NA	NA	NA	NA	NA
chromosome organization involved in meiotic cell cycle	NA	NA	NA	NA	NA
chromosome separation	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
chronic inflammatory response	0	0.8817567625944944	84	0.9655078529484519	0.45652173913043476
ciliary neurotrophic factor-mediated signaling pathway	NA	NA	NA	NA	NA
circadian regulation of gene expression	NA	NA	NA	NA	NA
circadian rhythm	NA	NA	NA	NA	NA
clathrin-dependent endocytosis	NA	NA	NA	NA	NA
cleavage involved in rRNA processing	NA	NA	NA	NA	NA
clustering of voltage-gated sodium channels	NA	NA	NA	NA	NA
cobalt ion transport	NA	NA	NA	NA	NA
cold-induced thermogenesis	0	NA	87	NA	0.47282608695652173
collagen catabolic process	NA	NA	NA	NA	NA
collagen metabolic process	NA	NA	NA	NA	NA
collateral sprouting	NA	NA	NA	NA	NA
columnar/cuboidal epithelial cell development	NA	NA	NA	NA	NA
columnar/cuboidal epithelial cell differentiation	NA	NA	NA	NA	NA
complement activation	NA	NA	NA	NA	NA
complement activation, alternative pathway	NA	NA	NA	NA	NA
complement activation, classical pathway	NA	NA	NA	NA	NA
complement receptor mediated signaling pathway	NA	NA	NA	NA	NA
complement-dependent cytotoxicity	0	NA	87	NA	0.47282608695652173
connective tissue replacement	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
connective tissue replacement involved in inflammatory response wound healing	NA	NA	NA	NA	NA
constitutive secretory pathway	NA	NA	NA	NA	NA
contractile actin filament bundle assembly	NA	NA	NA	NA	NA
copper ion transport	NA	NA	NA	NA	NA
coronary vasculature development	NA	NA	NA	NA	NA
coronary vasculature morphogenesis	NA	NA	NA	NA	NA
cortical actin cytoskeleton organization	NA	NA	NA	NA	NA
cortical cytoskeleton organization	NA	NA	NA	NA	NA
corticosteroid receptor signaling pathway	NA	NA	NA	NA	NA
cotranslational protein targeting to membrane	NA	NA	NA	NA	NA
cranial ganglion development	NA	NA	NA	NA	NA
cranial nerve development	NA	NA	NA	NA	NA
cyclic nucleotide catabolic process	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
cytidine catabolic process	NA	NA	NA	NA	NA
cytidine deamination	NA	NA	NA	NA	NA
cytidine metabolic process	NA	NA	NA	NA	NA
cytidine to uridine editing	NA	NA	NA	NA	NA
cytokine production involved in immune response	0	NA	87	NA	0.47282608695652173
cytokine production involved in inflammatory response	NA	NA	NA	NA	NA
cytokinesis	NA	NA	NA	NA	NA
cytokinetic process	NA	NA	NA	NA	NA
cytoplasmic microtubule organization	NA	NA	NA	NA	NA
cytoplasmic sequestering of NF-kappaB	NA	NA	NA	NA	NA
cytoplasmic sequestering of protein	NA	NA	NA	NA	NA
cytoplasmic sequestering of transcription factor	NA	NA	NA	NA	NA
cytoplasmic translation	NA	NA	NA	NA	NA
cytoplasmic translational initiation	0	0.05224429859374702	112	0.3929526033437337	0.6086956521739131
cytoskeleton-dependent cytokinesis	NA	NA	NA	NA	NA
cytosolic pattern recognition receptor signaling pathway	NA	NA	NA	NA	NA
cytosolic transport	NA	NA	NA	NA	NA
dCMP catabolic process	NA	NA	NA	NA	NA
dCMP metabolic process	NA	NA	NA	NA	NA
dUMP catabolic process	NA	NA	NA	NA	NA
deadenylation-dependent decapping of nuclear-transcribed mRNA	NA	NA	NA	NA	NA
decidualization	0	0.41715819861414843	96.5	0.8017867405900627	0.5244565217391305
defense response to Gram-negative bacterium	NA	NA	NA	NA	NA
defense response to Gram-positive bacterium	NA	NA	NA	NA	NA
defense response to fungus	NA	NA	NA	NA	NA
defense response to protozoan	NA	NA	NA	NA	NA
dendrite morphogenesis	NA	NA	NA	NA	NA
dendritic cell antigen processing and presentation	NA	NA	NA	NA	NA
dendritic cell apoptotic process	NA	NA	NA	NA	NA
dendritic cell chemotaxis	NA	NA	NA	NA	NA
dendritic cell cytokine production	NA	NA	NA	NA	NA
dendritic cell differentiation	NA	NA	NA	NA	NA
dendritic cell migration	NA	NA	NA	NA	NA
dentinogenesis	NA	NA	NA	NA	NA
deoxyribonucleoside monophosphate catabolic process	NA	NA	NA	NA	NA
deoxyribonucleotide metabolic process	NA	NA	NA	NA	NA
deoxyribose phosphate metabolic process	NA	NA	NA	NA	NA
detection of bacterium	NA	NA	NA	NA	NA
detection of biotic stimulus	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
detection of external biotic stimulus	NA	NA	NA	NA	NA
detection of mechanical stimulus	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
detection of mechanical stimulus involved in sensory perception	NA	NA	NA	NA	NA
detection of mechanical stimulus involved in sensory perception of pain	NA	NA	NA	NA	NA
detection of molecule of bacterial origin	NA	NA	NA	NA	NA
detection of other organism	NA	NA	NA	NA	NA
detection of stimulus involved in sensory perception of pain	NA	NA	NA	NA	NA
detection of virus	NA	NA	NA	NA	NA
detoxification	NA	NA	NA	NA	NA
development of primary female sexual characteristics	NA	NA	NA	NA	NA
development of primary male sexual characteristics	NA	NA	NA	NA	NA
development of secondary female sexual characteristics	NA	NA	NA	NA	NA
development of secondary sexual characteristics	NA	NA	NA	NA	NA
digestive system development	NA	NA	NA	NA	NA
diol metabolic process	NA	NA	NA	NA	NA
dipeptide import across plasma membrane	NA	NA	NA	NA	NA
dopamine receptor signaling pathway	NA	NA	NA	NA	NA
dopaminergic neuron differentiation	NA	NA	NA	NA	NA
dosage compensation	NA	NA	NA	NA	NA
dosage compensation by inactivation of X chromosome	NA	NA	NA	NA	NA
double-strand break repair via break-induced replication	NA	NA	NA	NA	NA
double-strand break repair via homologous recombination	NA	NA	NA	NA	NA
ear morphogenesis	NA	NA	NA	NA	NA
early endosome to late endosome transport	NA	NA	NA	NA	NA
ectodermal placode development	NA	NA	NA	NA	NA
ectodermal placode formation	NA	NA	NA	NA	NA
ectodermal placode morphogenesis	NA	NA	NA	NA	NA
eiF2alpha phosphorylation in response to endoplasmic reticulum stress	NA	NA	NA	NA	NA
elastin metabolic process	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
electron transport chain	NA	NA	NA	NA	NA
embryo implantation	NA	NA	NA	NA	NA
embryonic appendage morphogenesis	NA	NA	NA	NA	NA
embryonic body morphogenesis	NA	NA	NA	NA	NA
embryonic camera-type eye development	NA	NA	NA	NA	NA
embryonic camera-type eye morphogenesis	NA	NA	NA	NA	NA
embryonic eye morphogenesis	NA	NA	NA	NA	NA
embryonic limb morphogenesis	NA	NA	NA	NA	NA
embryonic placenta development	0	0.36222386040624477	75	0.8017867405900627	0.4076086956521739
embryonic placenta morphogenesis	NA	NA	NA	NA	NA
embryonic skeletal joint development	NA	NA	NA	NA	NA
embryonic skeletal system development	NA	NA	NA	NA	NA
embryonic skeletal system morphogenesis	NA	NA	NA	NA	NA
endocrine pancreas development	NA	NA	NA	NA	NA
endocrine process	NA	NA	NA	NA	NA
endocrine system development	NA	NA	NA	NA	NA
endocytic recycling	NA	NA	NA	NA	NA
endoderm formation	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
endolysosomal toll-like receptor signaling pathway	NA	NA	NA	NA	NA
endonucleolytic cleavage involved in rRNA processing	NA	NA	NA	NA	NA
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	NA	NA	NA	NA	NA
endoplasmic reticulum calcium ion homeostasis	NA	NA	NA	NA	NA
endoplasmic reticulum organization	NA	NA	NA	NA	NA
endoplasmic reticulum to Golgi vesicle-mediated transport	NA	NA	NA	NA	NA
endoplasmic reticulum to cytosol transport	NA	NA	NA	NA	NA
endoplasmic reticulum tubular network formation	NA	NA	NA	NA	NA
endoplasmic reticulum unfolded protein response	NA	NA	NA	NA	NA
endosomal lumen acidification	NA	NA	NA	NA	NA
endosomal vesicle fusion	NA	NA	NA	NA	NA
endosome organization	NA	NA	NA	NA	NA
endosome to lysosome transport	NA	NA	NA	NA	NA
endosome to lysosome transport via multivesicular body sorting pathway	NA	NA	NA	NA	NA
endosome to plasma membrane protein transport	NA	NA	NA	NA	NA
endosome transport via multivesicular body sorting pathway	NA	NA	NA	NA	NA
endothelial cell apoptotic process	NA	NA	NA	NA	NA
endothelial cell chemotaxis	NA	NA	NA	NA	NA
endothelial cell development	0	0.7757747190771391	81.5	0.8893027267469643	0.4429347826086957
endothelial cell differentiation	0	0.6805494852911914	79	0.8822582843048257	0.42934782608695654
endothelial cell proliferation	0.9559982533528046	0.006272785023450252	125.5	0.21414842245179905	0.6820652173913043
endothelial tube morphogenesis	NA	NA	NA	NA	NA
endothelin receptor signaling pathway	NA	NA	NA	NA	NA
endothelium development	0	0.6805494852911914	79	0.8822582843048257	0.42934782608695654
energy reserve metabolic process	NA	NA	NA	NA	NA
ensheathment of neurons	NA	NA	NA	NA	NA
enteroendocrine cell differentiation	NA	NA	NA	NA	NA
entry into host	0	0.5179797133085953	74	0.8540523159096338	0.40217391304347827
eosinophil activation involved in immune response	NA	NA	NA	NA	NA
eosinophil chemotaxis	NA	NA	NA	NA	NA
eosinophil degranulation	NA	NA	NA	NA	NA
eosinophil migration	NA	NA	NA	NA	NA
epiboly	NA	NA	NA	NA	NA
epiboly involved in wound healing	NA	NA	NA	NA	NA
epidermal cell differentiation	NA	NA	NA	NA	NA
epidermal growth factor receptor signaling pathway	NA	NA	NA	NA	NA
epigenetic regulation of gene expression	NA	NA	NA	NA	NA
epithelial cell apoptotic process	0	0.29707652974658233	72	0.7891902594572252	0.391304347826087
epithelial cell differentiation involved in kidney development	NA	NA	NA	NA	NA
epithelial cell proliferation involved in liver morphogenesis	NA	NA	NA	NA	NA
epithelial cell-cell adhesion	NA	NA	NA	NA	NA
epithelial to mesenchymal transition	NA	NA	NA	NA	NA
erythrocyte development	NA	NA	NA	NA	NA
erythrocyte differentiation	NA	NA	NA	NA	NA
erythrocyte homeostasis	NA	NA	NA	NA	NA
erythrocyte maturation	NA	NA	NA	NA	NA
establishment of RNA localization	NA	NA	NA	NA	NA
establishment of chromosome localization	NA	NA	NA	NA	NA
establishment of endothelial barrier	0	0.5180206289290548	74	0.8540523159096338	0.40217391304347827
establishment of endothelial intestinal barrier	NA	NA	NA	NA	NA
establishment of lymphocyte polarity	NA	NA	NA	NA	NA
establishment of mitochondrion localization	NA	NA	NA	NA	NA
establishment of mitochondrion localization, microtubule-mediated	NA	NA	NA	NA	NA
establishment of mitotic sister chromatid cohesion	NA	NA	NA	NA	NA
establishment of mitotic spindle localization	NA	NA	NA	NA	NA
establishment of protein localization to chromosome	NA	NA	NA	NA	NA
establishment of protein localization to endoplasmic reticulum	NA	NA	NA	NA	NA
establishment of protein localization to mitochondrial membrane	NA	NA	NA	NA	NA
establishment of protein localization to plasma membrane	NA	NA	NA	NA	NA
establishment of protein localization to telomere	NA	NA	NA	NA	NA
establishment of protein localization to vacuole	NA	NA	NA	NA	NA
establishment of sister chromatid cohesion	NA	NA	NA	NA	NA
establishment of spindle localization	NA	NA	NA	NA	NA
establishment of vesicle localization	NA	NA	NA	NA	NA
establishment or maintenance of transmembrane electrochemical gradient	NA	NA	NA	NA	NA
exit from host cell	NA	NA	NA	NA	NA
exocyst localization	NA	NA	NA	NA	NA
exocytic process	NA	NA	NA	NA	NA
exosomal secretion	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
extracellular exosome assembly	NA	NA	NA	NA	NA
extracellular exosome biogenesis	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
extracellular matrix disassembly	NA	NA	NA	NA	NA
extracellular vesicle biogenesis	0	0.7736163763569865	91.5	0.8893027267469643	0.49728260869565216
extrinsic apoptotic signaling pathway in absence of ligand	0	0.527848364737902	99	0.8540523159096338	0.5380434782608695
extrinsic apoptotic signaling pathway via death domain receptors	NA	NA	NA	NA	NA
eye morphogenesis	NA	NA	NA	NA	NA
fat-soluble vitamin biosynthetic process	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
fat-soluble vitamin metabolic process	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
fatty acid biosynthetic process	NA	NA	NA	NA	NA
fatty acid transmembrane transport	NA	NA	NA	NA	NA
fatty acid transport	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
female gonad development	NA	NA	NA	NA	NA
female meiosis I	NA	NA	NA	NA	NA
female meiosis chromosome segregation	NA	NA	NA	NA	NA
female meiotic nuclear division	NA	NA	NA	NA	NA
female pregnancy	0	0.6065601737819364	94	0.8540523159096338	0.5108695652173914
female sex differentiation	NA	NA	NA	NA	NA
fever generation	0	NA	87	NA	0.47282608695652173
fibrinolysis	NA	NA	NA	NA	NA
fibroblast apoptotic process	0	0.1718282363326186	108	0.62571222592143	0.5869565217391305
fibroblast migration	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
fibroblast proliferation	0	NA	87	NA	0.47282608695652173
filopodium assembly	NA	NA	NA	NA	NA
foam cell differentiation	NA	NA	NA	NA	NA
focal adhesion assembly	NA	NA	NA	NA	NA
folic acid-containing compound metabolic process	NA	NA	NA	NA	NA
forebrain cell migration	NA	NA	NA	NA	NA
forelimb morphogenesis	NA	NA	NA	NA	NA
formation of cytoplasmic translation initiation complex	0	0.05224429859374702	112	0.3929526033437337	0.6086956521739131
formation of primary germ layer	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
formation of translation preinitiation complex	NA	NA	NA	NA	NA
fructose 2,6-bisphosphate metabolic process	NA	NA	NA	NA	NA
fructose 6-phosphate metabolic process	NA	NA	NA	NA	NA
fused antrum stage	NA	NA	NA	NA	NA
ganglion development	NA	NA	NA	NA	NA
ganglioside biosynthetic process	NA	NA	NA	NA	NA
ganglioside biosynthetic process via lactosylceramide	NA	NA	NA	NA	NA
ganglioside metabolic process	NA	NA	NA	NA	NA
gas transport	NA	NA	NA	NA	NA
gastrulation	0	0.5496594221414087	81	0.8540523159096338	0.44021739130434784
germinal center B cell differentiation	NA	NA	NA	NA	NA
germinal center formation	NA	NA	NA	NA	NA
gland morphogenesis	0	1	86.5	1	0.4701086956521739
glandular epithelial cell development	NA	NA	NA	NA	NA
glandular epithelial cell differentiation	NA	NA	NA	NA	NA
glial cell activation	1.0959678517358906	0.12713369872778868	117	0.62571222592143	0.6358695652173914
glial cell development	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
glial cell migration	NA	NA	NA	NA	NA
glial cell proliferation	NA	NA	NA	NA	NA
glomerular filtration	NA	NA	NA	NA	NA
glomerulus development	NA	NA	NA	NA	NA
glucan biosynthetic process	NA	NA	NA	NA	NA
glucan metabolic process	NA	NA	NA	NA	NA
glucosamine-containing compound catabolic process	NA	NA	NA	NA	NA
glucosamine-containing compound metabolic process	NA	NA	NA	NA	NA
glucose 6-phosphate metabolic process	NA	NA	NA	NA	NA
glucose catabolic process	NA	NA	NA	NA	NA
glucose catabolic process to pyruvate	NA	NA	NA	NA	NA
glucose import	NA	NA	NA	NA	NA
glucose metabolic process	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
glucose transmembrane transport	NA	NA	NA	NA	NA
glucosylceramide metabolic process	NA	NA	NA	NA	NA
glutamate receptor signaling pathway	NA	NA	NA	NA	NA
glutathione biosynthetic process	NA	NA	NA	NA	NA
glyceraldehyde-3-phosphate metabolic process	NA	NA	NA	NA	NA
glycogen biosynthetic process	NA	NA	NA	NA	NA
glycogen metabolic process	NA	NA	NA	NA	NA
glycolipid catabolic process	NA	NA	NA	NA	NA
glycolytic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
