Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	up_aggregated_microarray	up_aggregated_RNAseq	up_aggregated_RNAseq_blood	up_aggregated_RNAseq_lung	up_aggregated_RNAseq_mixed
9-cis-retinoic acid biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9-cis-retinoic acid metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90S preribosome assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.969560265770416	1.0985819898612768	0.9164841257445416
ADP metabolic process	0	1.097791600022847	0.6762655435254642	0.2401617162962049	0	0	0.37280950286888903	0.37280950286888903	0.27545832684555527	0	0	0	0	0	0	0.2896919599104066	0	0.6260955638832774	0	1.391166853221922	1.0508982654138428	0.9248222830950744	0	0.5504572791371473	0	1.6756422623239473	1.4947467839446331	0.7414744002422817	0.7414744002422817	0	0	0.7471117329910685	0.9455419862958728	1.5185465023211429	0	1.0464363066316646	0.7575379683355916	0.9380048514978064	1.06479898363209	0.8859755395940058
ADP transport	0	0	0.8614390216115575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.333962248349955	0
AIM2 inflammasome complex assembly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1711014196338105	2.734217978028121	2.1010173455817207
AMP biosynthetic process	0	0	0.40537921220803264	0	0.8793615030720929	0.8793615030720929	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7389173621184404	0	0	0	2.0869441674348783	0	0	0.7377028152635751	0	0	0	0	0.6540101260651413	1.0469643141814813	0.586694552178566	0	1.1532638054941606	0	1.038986598184234	2.581580574642751	0.9837676833776414
AMP catabolic process	0	0	0.8614390216115575	1.4163919527593207	0	0	1.8347773793557376	1.8347773793557376	0	0	0	0	0	0	0	1.5900687028296134	1.7497984614270334	1.7090150004370732	0	1.391166853221922	1.6511590981957585	0	0	1.5761318379340712	0	0	1.389459009330864	0	0	2.3310190039844345	2.3310190039844345	1.2685158883657606	1.1707622137089913	1.166052074488009	0	1.9174773142229329	1.9174773142229329	0	2.333962248349955	0
AMP metabolic process	0	0	0.4686572100116575	0.4677140222847509	0.9922967814779006	0.9922967814779006	0.7035237434879335	0.7035237434879335	0	0	0	0	0	0	0	0.9998978407686908	0.650579764345643	0.6260955638832774	0	0.8402619380534676	0.5923886210812797	0	0	1.9580216201976088	0	0	0.838936259496209	0	0	1.664840924724367	1.664840924724367	1.0336942525837371	1.3608102801606463	0.9413290963771808	0	1.6458555306206983	1.2825253347519858	0.6699129125630244	2.5537393812238425	0.6287574453486912
AMP phosphorylation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA
AMP salvage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPA glutamate receptor clustering	0	2.775454161685804	1.1712420468071605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.948181289413049	0	0	0	0	0	0	0	0	0	2.31098542196601	0	0	2.734217978028121	0
AMPA selective glutamate receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF protein signal transduction	0	0	1.7915481941227285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4336113848387018	0	0	0	0	0	2.626053823061954	2.431707357415138	0	0	0	0	0	2.1810812208777905	0	0	0	0	0	0	0
ATF6-mediated unfolded protein response	0	2.3747905586051776	0.4686572100116575	0	0	0	0	0	0	0	0	0	0	0	0	0.9998978407686908	0	0	0	1.391166853221922	1.6511590981957585	0	0	0	0	0.9806520342843394	0.838936259496209	0	0	0	0	0.7471117329910685	0	0.672562077781781	0	1.2825253347519858	1.2825253347519858	1.7813171628329294	0	1.713497757229758
ATP biosynthetic process	2.496969404341016	0.7645496791216033	0.932962715797604	0.5795767129288708	0.35957472855496925	0.35957472855496925	0.46496607482009145	0.46496607482009145	0	0	0	0	0	0	0	0.6868415135876945	0	0.4101755355588067	0	1.1883420992646598	0.7270515423328674	0	0	0.3577987749618323	0	1.3546991727973443	1.1867375594806653	0.4922799234153526	0.4922799234153526	0	0	0.9052097810670864	0.22809480366964663	0.6414053635406272	0.7987955693704741	0.5039349530067756	0.5039349530067756	0.8169729057105799	2.8797523610494324	0.7694036845841558
ATP export	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.667633354657574	0
