GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0002652	regulation of tolerance induction dependent upon immune response	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002654	positive regulation of tolerance induction dependent upon immune response	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002658	regulation of peripheral tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002660	positive regulation of peripheral tolerance induction	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002661	regulation of B cell tolerance induction	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002663	positive regulation of B cell tolerance induction	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0002664	regulation of T cell tolerance induction	13	0.0035714285714285713	13/16283	0.46153846153846156	4.473351648351649	4.249268045648653	0.0010807427902657216	0.008735916216973004	0.006327761677287583	LILRB2/LILRB4/HLA-B/IL2RA/IDO1/ITCH	6	6	0.04424470179775742	0.9130027512842391
GO:0002666	positive regulation of T cell tolerance induction	9	0.002380952380952381	9/16283	0.4444444444444444	4.307671957671958	3.366541742042215	0.00929171276219478	0.04684866602850363	0.03393429906656418	LILRB2/LILRB4/IDO1/ITCH	4	3	0.3319267742495384	1.1342860956511438
GO:0002667	regulation of T cell anergy	8	0.0017857142857142857	8/16283	0.375	3.6345982142857145	2.528054087852362	0.0412730674511502	0.13816977918514337	0.10008171003155346	LILRB4/HLA-B/ITCH	3	3	0.04424470179775742	0.9130027512842391
GO:0002669	positive regulation of T cell anergy	5	0.0011904761904761906	5/16283	0.4	3.8769047619047625	2.182214507392212	0.08611096630559778	0.23350042271521873	0.16913337877681456	LILRB4/ITCH	2	1	0.7373918823577027	1.4833806459541825
GO:0002673	regulation of acute inflammatory response	46	0.010714285714285714	46/16283	0.391304347826087	3.7926242236024845	6.433184320745203	2.66330417525065e-7	7.649725773955228e-6	5.540991968323334e-6	NLRP3/CCR7/CNR1/C2CD4A/EDNRB/FCGR1A/ALOX5AP/FFAR3/FFAR2/HLA-E/IL1B/IL6/OSM/PTGS2/TNF/C3/OSMR/PTGES	18	14	0.29555913007866347	1.1049228480789741
GO:0002674	negative regulation of acute inflammatory response	11	5.952380952380953e-4	11/16283	0.09090909090909091	0.8811147186147186	-0.13378007598454683	0.6982721175095721	0.8316007308877065	0.6023605429607606	NLRP3	1	5	-1.5651932106363429	0.20755420997452675
GO:0002675	positive regulation of acute inflammatory response	27	0.008928571428571428	27/16283	0.5555555555555556	5.384589947089947	7.733774307296984	7.848564639523232e-9	2.997362451160939e-7	2.1711054433588523e-7	CCR7/CNR1/C2CD4A/FCGR1A/ALOX5AP/FFAR3/FFAR2/HLA-E/IL1B/IL6/OSM/PTGS2/TNF/C3/OSMR	15	7	0.8063847538446539	1.5460058215670864
GO:0002676	regulation of chronic inflammatory response	9	0.002976190476190476	9/16283	0.5555555555555556	5.384589947089947	4.462626665374083	0.0010252621127838258	0.008485099035097135	0.006146085100720169	IL10/IDO1/CCL5/TNF/TNFAIP3	5	1	1.6536826142318577	2.355859749572364
GO:0002677	negative regulation of chronic inflammatory response	4	0	0	0	0	0	1	1	1		0	0	0	0
