drug_name	drug_gene	type
metergoline	CDC20	LINCS
rimexolone	CDC20	LINCS
amlodipine	CDC20	LINCS
lovastatin	CDC25A	LINCS
sirolimus	CDC25A	LINCS
atorvastatin	CDC25A	LINCS
simvastatin	CDC25A	LINCS
quercetin	MVP	LINCS
rosuvastatin	MVP	LINCS
fluvastatin	MVP	LINCS
sirolimus	EIF4E	DGIdb
sirolimus	FKBP4	DGIdb
sirolimus	RBL2	DGIdb
sirolimus	FKBP1A	DGIdb
ranolazine	SCN5A	DGIdb
rosuvastatin	SCAP	DGIdb
rosuvastatin	FOXA3	DGIdb
rosuvastatin	COQ2	DGIdb
rosuvastatin	HNF1A	DGIdb
rosuvastatin	USP24	DGIdb
rosuvastatin	LPA	DGIdb
etoposide	ACTR2	DGIdb
etoposide	PAPOLA	DGIdb
etoposide	SLIT1	DGIdb
etoposide	TBP	DGIdb
etoposide	PLA2G6	DGIdb
etoposide	YAP1	DGIdb
etoposide	DYNC2H1	DGIdb
sunitinib	KIT	DGIdb
sunitinib	EWSR1	DGIdb
sunitinib	MKI67	DGIdb
sunitinib	KDM5C	DGIdb
sunitinib	PDGFA	DGIdb
sunitinib	PDGFC	DGIdb
sunitinib	PDGFD	DGIdb
rifabutin	NR1I2	DGIdb
ethotoin	SCN5A	DGIdb
dopamine	ADRA2A	DGIdb
dopamine	GFER	DGIdb
quercetin	GABPA	DGIdb
quercetin	APOB	DGIdb
quercetin	HSF1	DGIdb
quercetin	PON1	DGIdb
quercetin	CD34	DGIdb
quercetin	MBP	DGIdb
quercetin	CDC25C	DGIdb
quercetin	PKN1	DGIdb
quercetin	PKN3	DGIdb
coumarin	CYP2A13	DGIdb
coumarin	CTSB	DGIdb
curcumin	CAMK2A	DGIdb
curcumin	HSD17B3	DGIdb
curcumin	IAPP	DGIdb
curcumin	SMAD2	DGIdb
curcumin	THBD	DGIdb
curcumin	DFFB	DGIdb
curcumin	DNMT3B	DGIdb
vorinostat	HDAC6	DGIdb
vorinostat	CHD4	DGIdb
dipyridamole	LINC00473	DGIdb
dipyridamole	PDE6H	DGIdb
dipyridamole	PDE6G	DGIdb
dipyridamole	PDE6B	DGIdb
dipyridamole	PDE6C	DGIdb
dipyridamole	PDE6D	DGIdb
dipyridamole	PDE6A	DGIdb
dipyridamole	PDE1A	DGIdb
dipyridamole	PDE1C	DGIdb
dipyridamole	PDE1B	DGIdb
dydrogesterone	PGR	DGIdb
lapatinib	HLA-DQA1	DGIdb
lapatinib	EEF2K	DGIdb
lapatinib	NF2	DGIdb
fluvastatin	SREBF1	DGIdb
fluvastatin	SLC15A1	DGIdb
fluvastatin	LIPC	DGIdb
quinine	COP 1	DGIdb
quinine	CYP3A7	DGIdb
nilotinib	DDR2	DGIdb
paclitaxel	EIF4EBP1	DGIdb
paclitaxel	NFE2	DGIdb
paclitaxel	TIGD1	DGIdb
paclitaxel	EIF4E2	DGIdb
paclitaxel	AFG2A	DGIdb
paclitaxel	MAD1L1	DGIdb
paclitaxel	FGD4	DGIdb
paclitaxel	DSCAM	DGIdb
paclitaxel	FZD3	DGIdb
paclitaxel	ARHGEF10	DGIdb
paclitaxel	EPHA5	DGIdb
paclitaxel	EPHA6	DGIdb
paclitaxel	PDCD4	DGIdb
dexamethasone	KRT19	DGIdb
dexamethasone	S100A10	DGIdb
dexamethasone	SDS	DGIdb
dexamethasone	UBR1	DGIdb
dexamethasone	TSC22D3	DGIdb
dexamethasone	CHKA	DGIdb
dexamethasone	FABP1	DGIdb
dexamethasone	ACTC1	DGIdb
dexamethasone	MT1F	DGIdb
dexamethasone	TEAD1	DGIdb
dexamethasone	CRISPLD2	DGIdb
verapamil	KCNMB1	DGIdb
verapamil	GRK4	DGIdb
verapamil	NOS1AP	DGIdb
verapamil	KCNIP1	DGIdb
verapamil	PLEKHH2	DGIdb
verapamil	KCNJ5	DGIdb
verapamil	KCNA4	DGIdb
felodipine	MYO9B	DGIdb
felodipine	CACNA2D1	DGIdb
ropinirole	DRD2	DGIdb
lovastatin	FDFT1	DGIdb
amodiaquine	HNMT	DGIdb
panobinostat	SIRT4	DGIdb
panobinostat	SIRT6	DGIdb
panobinostat	SIRT7	DGIdb
panobinostat	SMARCB1	DGIdb
panobinostat	ACTL6A	DGIdb
irbesartan	APOB	DGIdb
varenicline	HYKK	DGIdb
tamoxifen	PIP	DGIdb
tamoxifen	TFF3	DGIdb
tamoxifen	PLD1	DGIdb
tamoxifen	PLD2	DGIdb
tamoxifen	ZNF423	DGIdb
tamoxifen	LRMDA	DGIdb
tamoxifen	FMO1	DGIdb
tamoxifen	RRAS2	DGIdb
mebendazole	TUBA1A	DGIdb
mebendazole	TUBB4B	DGIdb
medetomidine	ADRA2B	DGIdb
niclosamide	APC	DGIdb
niclosamide	FZD1	DGIdb
niclosamide	STAT3	DGIdb
bendroflumethiazide	SLC12A3	DGIdb
chloroquine	ACKR1	DGIdb
chloroquine	ASS1	DGIdb
betamethasone	HMOX2	DGIdb
betamethasone	PTGER4	DGIdb
dextromethorphan	ERCC6	DGIdb
dextromethorphan	TBX21	DGIdb
noscapine	HIF1A	DGIdb
triamcinolone	GLCCI1	DGIdb
triamcinolone	HCG22	DGIdb
triamcinolone	CD1A	DGIdb
thalidomide	SPG7	DGIdb
thalidomide	SNORD68	DGIdb
thalidomide	CHST3	DGIdb
thalidomide	SULT1C4	DGIdb
