ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009749	response to glucose	23/951	175/16218	2.3529716216277974e-4	0.0043466249761129755	0.0032157118169096367	CDKN1B/EGR1/PTK2B/RAB11FIP2/MPC2/GPER1/HIF1A/ICAM1/IGF1R/PCK2/PFKL/PIK3CA/PIH1D1/PRKACA/BAD/SGCB/SMARCA4/SOX4/STX4/TIAM1/XBP1/CASP3/C2CD2L	23
GO:0086100	endothelin receptor signaling pathway	5/951	11/16218	2.3541917357918117e-4	0.0043466249761129755	0.0032157118169096367	CRKL/EDN1/PTK2B/GNA11/CDC42	5
GO:0006970	response to osmotic stress	14/951	81/16218	2.3701481789674907e-4	0.00436329033180682	0.0032280411486399346	TSC22D3/PTK2B/MYLK/CAB39/MAPK13/BAD/PTGS2/BAX/RELB/TP53/CASP3/MAP7/ARHGEF2/OXSR1	14
GO:0031032	actomyosin structure organization	25/951	198/16218	2.42513395243625e-4	0.004451499523189105	0.0032932999047200883	SORBS3/MYL9/CSRP1/EDN1/EPB41L2/PTK2B/ABL1/ITGB5/RHOA/STMN1/SMAD3/PAK1/EVL/CARMIL1/PXN/SRC/TESK1/TGFB3/TJP1/TPM1/IQGAP1/CFLAR/PDLIM1/ITGB1BP1/CDC42	25
GO:0002042	cell migration involved in sprouting angiogenesis	11/951	54/16218	2.4856507881728106e-4	0.004499862134726156	0.0033290794399390158	AKT1/ABL1/GATA2/HMOX1/RHOA/NOTCH1/MAP2K5/PTGS2/TBXA2R/PIK3R3/ITGB1BP1	11
GO:0002279	mast cell activation involved in immune response	11/951	54/16218	2.4856507881728106e-4	0.004499862134726156	0.0033290794399390158	GATA2/IL4R/KIT/LYN/PTPN6/RAC2/S100A13/STXBP1/STXBP2/SYK/BTK	11
GO:0046902	regulation of mitochondrial membrane permeability	11/951	54/16218	2.4856507881728106e-4	0.004499862134726156	0.0033290794399390158	SLC25A4/HSPA1A/NMT1/PMAIP1/BAD/BAX/BCL2/BID/BNIP3L/TP53/IER3	11
GO:0061097	regulation of protein tyrosine kinase activity	11/951	54/16218	2.4856507881728106e-4	0.004499862134726156	0.0033290794399390158	ERBB3/APP/DUSP22/PTPN1/PTPRC/SNX6/SRC/CHMP6/CBLB/SH3BP5/MVP	11
GO:0045648	positive regulation of erythrocyte differentiation	8/951	30/16218	2.4953416019561896e-4	0.004499862134726156	0.0033290794399390158	ETS1/FOXO3/GATA2/HIF1A/HSPA1A/STAT1/STAT3/STAT5B	8
GO:0033045	regulation of sister chromatid segregation	16/951	101/16218	2.497265798817546e-4	0.004499862134726156	0.0033290794399390158	CENPE/UBE2C/BIRC5/PLK1/RB1/SMARCA4/SMARCC1/SMARCD2/BUB1B/BECN1/CCNB1/ZW10/AURKB/BCL7B/CDK1/CDC20	16
GO:0030330	DNA damage response, signal transduction by p53 class mediator	13/951	72/16218	2.5086588457574346e-4	0.004499862134726156	0.0033290794399390158	CDKN1A/CDKN1B/CHEK2/SPRED2/MIF/MUC1/PMAIP1/PSMD10/SOX4/TP53/CASP2/DYRK3/CD44	13
